timestamp,details-v1-bf9f794fb-zxrkg_cpu,productpage-v1-649f4b6b86-h6nsx_cpu,ratings-v1-5f7bb6dbdd-hb8rk_cpu,reviews-v1-665cdc9c56-bnc58_cpu,reviews-v2-78f7489cc8-kfj2q_cpu,reviews-v3-7778f74db8-bk7k6_cpu,details-v1-bf9f794fb-zxrkg_memory,productpage-v1-649f4b6b86-h6nsx_memory,ratings-v1-5f7bb6dbdd-hb8rk_memory,reviews-v1-665cdc9c56-bnc58_memory,reviews-v2-78f7489cc8-kfj2q_memory,reviews-v3-7778f74db8-bk7k6_memory,reviews-v2-78f7489cc8-kfj2q_network,ratings-v1-5f7bb6dbdd-hb8rk_network,productpage-v1-649f4b6b86-h6nsx_network,reviews-v3-7778f74db8-bk7k6_network,reviews-v1-665cdc9c56-bnc58_network,details-v1-bf9f794fb-zxrkg_network
2026-03-24 10:31:00,3.5993228666666726,41.91032239999306,3.3966409666666606,16.220954966668916,86.04366403333188,27.770738866668882,20.299776,289.316864,19.935232,109.694976,109.633536,115.277824,214.13444444444443,882.0899999999999,12092.667777777779,1531.4177777777777,406.6944444444445,561.6899999999999
2026-03-24 10:31:05,8.631844333333335,46.53147499999856,5.009803666666665,22.326813599996363,39.29506736665947,60.239227500005654,20.496384,289.394688,20.758528,109.75232,109.703168,115.380224,924.16,1024.0000000000005,1800.5877777777775,977.6044444444444,318.0277777777777,579.2044444444444
2026-03-24 10:31:10,8.631844333333335,46.53147499999856,5.009803666666664,22.326813599996363,39.29506736665947,60.239227500005654,20.496384,289.394688,20.758528,109.75232,109.703168,115.380224,924.16,1024.0,1800.5877777777775,977.6044444444444,318.0277777777777,579.2044444444444
2026-03-24 10:31:15,8.631844333333335,46.53147499999856,5.009803666666664,22.326813599996363,39.29506736665947,60.239227500005654,20.496384,289.394688,20.758528,109.75232,109.703168,115.380224,924.16,1024.0,1800.5877777777775,977.6044444444444,318.0277777777777,579.2044444444444
2026-03-24 10:31:20,8.631844333333335,46.53147499999856,5.009803666666664,22.326813599996363,39.29506736665947,60.239227500005654,20.496384,289.394688,20.758528,109.75232,109.703168,115.380224,924.16,1024.0,1800.5877777777775,977.6044444444444,318.0277777777777,579.2044444444444
2026-03-24 10:31:25,8.631844333333335,46.53147499999856,5.009803666666664,22.326813599996363,39.29506736665947,60.239227500005654,20.496384,289.394688,20.758528,109.75232,109.703168,115.380224,924.16,1024.0,1800.5877777777775,977.6044444444444,318.0277777777777,579.2044444444444
2026-03-24 10:31:30,8.631844333333335,46.53147499999856,5.009803666666664,22.326813599996363,39.29506736665947,60.239227500005654,20.496384,289.394688,20.758528,109.75232,109.703168,115.380224,924.16,1024.0,1800.5877777777775,977.6044444444444,318.0277777777777,579.2044444444444
2026-03-24 10:31:35,4.0146879666666635,42.05792006667555,3.1622951666666554,26.800528066678453,28.506761500011635,17.268575633336997,20.537344,291.36896,20.221952,109.789184,109.715456,115.388416,862.4011111111112,510.7600000000002,10120.359999999999,922.1344444444445,238.1877777777778,698.7211111111111
2026-03-24 10:31:40,4.0146879666666635,42.05792006667555,3.1622951666666546,26.800528066678453,28.506761500011635,17.268575633336997,20.537344,291.36896,20.221952,109.789184,109.715456,115.388416,862.4011111111112,510.76000000000005,10120.359999999999,922.1344444444445,238.1877777777778,698.7211111111111
2026-03-24 10:31:45,4.0146879666666635,42.05792006667555,3.1622951666666546,26.800528066678453,28.506761500011635,17.268575633336997,20.537344,291.36896,20.221952,109.789184,109.715456,115.388416,862.4011111111112,510.76000000000005,10120.359999999999,922.1344444444445,238.1877777777778,698.7211111111111
2026-03-24 10:31:50,4.0146879666666635,42.05792006667555,3.1622951666666546,26.800528066678453,28.506761500011635,17.268575633336997,20.537344,291.36896,20.221952,109.789184,109.715456,115.388416,862.4011111111112,510.76000000000005,10120.359999999999,922.1344444444445,238.1877777777778,698.7211111111111
2026-03-24 10:31:55,4.0146879666666635,42.05792006667555,3.1622951666666546,26.800528066678453,28.506761500011635,17.268575633336997,20.537344,291.36896,20.221952,109.789184,109.715456,115.388416,862.4011111111112,510.76000000000005,10120.359999999999,922.1344444444445,238.1877777777778,698.7211111111111
