timestamp,details-v1,productpage-v1,ratings-v1,reviews-v1,reviews-v2,reviews-v3
2026-03-24 13:28:00,1.0,,1.0,1.0,1.0,1.0
2026-03-24 13:28:05,1.0,,1.0,1.0,1.0,1.0
2026-03-24 13:28:10,1.0,,1.0,1.0,1.0,1.0
2026-03-24 13:28:15,1.0,,1.0,1.0,1.0,1.0
2026-03-24 13:28:20,1.0,,1.0,1.0,1.0,1.0
2026-03-24 13:28:25,1.0,,1.0,1.0,1.0,1.0
2026-03-24 13:28:30,1.0,,1.0,1.0,1.0,1.0
2026-03-24 13:28:35,1.0,,1.0,1.0,1.0,1.0
2026-03-24 13:28:40,1.0,,1.0,1.0,1.0,1.0
2026-03-24 13:28:45,1.0,,1.0,1.0,1.0,1.0
2026-03-24 13:28:50,1.0,,1.0,1.0,1.0,
2026-03-24 13:28:55,1.0,,1.0,1.0,,
2026-03-24 13:31:30,1.0,,1.0,1.0,,
2026-03-24 13:31:35,1.0,,1.0,1.0,,
2026-03-24 13:31:40,1.0,,1.0,1.0,,
2026-03-24 13:31:45,1.0,,1.0,1.0,,
2026-03-24 13:31:50,1.0,,1.0,1.0,,
2026-03-24 13:31:55,1.0,,1.0,1.0,,
2026-03-24 13:32:00,1.0,,1.0,1.0,,
2026-03-24 13:32:05,1.0,,1.0,1.0,,
2026-03-24 13:32:10,1.0,,1.0,1.0,,
2026-03-24 13:32:15,1.0,,1.0,1.0,,
2026-03-24 13:32:20,1.0,,1.0,1.0,,
2026-03-24 13:32:25,1.0,,1.0,1.0,,
2026-03-24 13:32:30,1.0,,1.0,1.0,,
2026-03-24 13:32:35,1.0,,1.0,1.0,,
2026-03-24 13:32:40,1.0,,1.0,1.0,,
