episode: 80 || reward: 24.8769 || t_min: 3328.1750 || reward_s: 17.4617
episode: 81 || reward: 12.1034 || t_min: 3328.1750 || reward_s: 17.1938
episode: 82 || reward: 5.8966 || t_min: 3328.1750 || reward_s: 16.6290
episode: 83 || reward: 14.0000 || t_min: 3328.1750 || reward_s: 16.4975
episode: 84 || reward: 11.2069 || t_min: 3328.1750 || reward_s: 16.2330
episode: 85 || reward: 13.0345 || t_min: 3328.1750 || reward_s: 16.0731
episode: 86 || reward: 13.0345 || t_min: 3328.1750 || reward_s: 15.9211
episode: 87 || reward: 17.8245 || t_min: 3328.1750 || reward_s: 16.0163
episode: 88 || reward: 8.7241 || t_min: 3328.1750 || reward_s: 15.6517
episode: 89 || reward: 10.3448 || t_min: 3328.1750 || reward_s: 15.3863
episode: 90 || reward: 14.0000 || t_min: 3328.1750 || reward_s: 15.3170
episode: 91 || reward: 39.0738 || t_min: 3328.1750 || reward_s: 16.5049
episode: 92 || reward: 13.0345 || t_min: 3328.1750 || reward_s: 16.3313
episode: 93 || reward: 7.9655 || t_min: 3328.1750 || reward_s: 15.9131
episode: 94 || reward: 14.0000 || t_min: 3328.1750 || reward_s: 15.8174
episode: 95 || reward: 30.2376 || t_min: 3328.1750 || reward_s: 16.5384
episode: 96 || reward: 11.2069 || t_min: 3328.1750 || reward_s: 16.2718
episode: 97 || reward: 9.5172 || t_min: 3328.1750 || reward_s: 15.9341
episode: 98 || reward: 4.6897 || t_min: 3328.1750 || reward_s: 15.3719
episode: 99 || reward: 14.0000 || t_min: 3328.1750 || reward_s: 15.3033
episode: 100 || reward: 28.8287 || t_min: 3328.1750 || reward_s: 15.9796
episode: 101 || reward: 10.3448 || t_min: 3328.1750 || reward_s: 15.6978
episode: 102 || reward: 14.0000 || t_min: 3328.1750 || reward_s: 15.6129
episode: 103 || reward: 9.5172 || t_min: 3328.1750 || reward_s: 15.3082
episode: 104 || reward: 12.1034 || t_min: 3328.1750 || reward_s: 15.1479
episode: 105 || reward: 14.0000 || t_min: 3328.1750 || reward_s: 15.0905
episode: 106 || reward: 12.1034 || t_min: 3328.1750 || reward_s: 14.9412
episode: 107 || reward: 15.4224 || t_min: 3328.1750 || reward_s: 14.9652
episode: 108 || reward: 40.7602 || t_min: 3328.1750 || reward_s: 16.2550
episode: 109 || reward: 14.0000 || t_min: 3328.1750 || reward_s: 16.1422
episode: 110 || reward: 2.6897 || t_min: 3328.1750 || reward_s: 15.4696
episode: 111 || reward: 10.3448 || t_min: 3328.1750 || reward_s: 15.2134
episode: 112 || reward: 50.9859 || t_min: 3328.1750 || reward_s: 17.0020
episode: 113 || reward: 14.0000 || t_min: 3328.1750 || reward_s: 16.8519
episode: 114 || reward: 50.8403 || t_min: 3328.1750 || reward_s: 18.5513
episode: 115 || reward: 14.0000 || t_min: 3328.1750 || reward_s: 18.3237
episode: 116 || reward: 14.0000 || t_min: 3328.1750 || reward_s: 18.1076
episode: 117 || reward: 8.7241 || t_min: 3328.1750 || reward_s: 17.6384
episode: 118 || reward: 13.0345 || t_min: 3328.1750 || reward_s: 17.4082
episode: 119 || reward: 27.1160 || t_min: 3328.1750 || reward_s: 17.8936
episode: 120 || reward: 5.8966 || t_min: 3328.1750 || reward_s: 17.2937
episode: 121 || reward: 7.2414 || t_min: 3328.1750 || reward_s: 16.7911
episode: 122 || reward: 4.1379 || t_min: 3328.1750 || reward_s: 16.1585
episode: 123 || reward: 5.8966 || t_min: 3328.1750 || reward_s: 15.6454
episode: 124 || reward: 21.0230 || t_min: 3328.1750 || reward_s: 15.9142
episode: 125 || reward: 25.0213 || t_min: 3328.1750 || reward_s: 16.3696
episode: 126 || reward: 11.2069 || t_min: 3328.1750 || reward_s: 16.1115
episode: 127 || reward: 8.7241 || t_min: 3328.1750 || reward_s: 15.7421
episode: 128 || reward: 11.2069 || t_min: 3328.1750 || reward_s: 15.5153
episode: 129 || reward: 10.3448 || t_min: 3328.1750 || reward_s: 15.2568
episode: 130 || reward: 10.3448 || t_min: 3328.1750 || reward_s: 15.0112
episode: 131 || reward: 14.0000 || t_min: 3328.1750 || reward_s: 14.9606
