timestamp,details-v1-bf9f794fb-zxrkg_cpu,productpage-v1-649f4b6b86-h6nsx_cpu,ratings-v1-5f7bb6dbdd-hb8rk_cpu,reviews-v1-665cdc9c56-bnc58_cpu,reviews-v2-78f7489cc8-kfj2q_cpu,reviews-v3-7778f74db8-bk7k6_cpu,details-v1-bf9f794fb-zxrkg_memory,productpage-v1-649f4b6b86-h6nsx_memory,ratings-v1-5f7bb6dbdd-hb8rk_memory,reviews-v1-665cdc9c56-bnc58_memory,reviews-v2-78f7489cc8-kfj2q_memory,reviews-v3-7778f74db8-bk7k6_memory,reviews-v3-7778f74db8-bk7k6_network,reviews-v1-665cdc9c56-bnc58_network,details-v1-bf9f794fb-zxrkg_network,reviews-v2-78f7489cc8-kfj2q_network,productpage-v1-649f4b6b86-h6nsx_network,ratings-v1-5f7bb6dbdd-hb8rk_network
2026-03-24 11:12:00,32.283165233333236,223.85829886666215,6.049232566666636,7.444613933330402,17.42286430000301,15.686212966678191,29.503488,299.819008,27.807744,115.597312,119.62368,126.111744,2177.7777777777774,238.1877777777778,4816.360000000001,1705.6899999999998,108724.07111111112,1369.0
2026-03-24 11:12:05,28.645597166666665,200.10576836666587,6.696755300000018,5.270708666663874,16.141796233326506,16.283105466663983,29.339648,297.459712,27.91424,115.597312,119.631872,126.1568,1204.0900000000001,1592.01,1554.9877777777774,1508.027777777778,12078.010000000002,1215.684444444445
2026-03-24 11:12:10,28.645597166666665,200.10576836666587,6.6967553000000155,5.270708666663874,16.141796233326506,16.283105466663983,29.339648,297.459712,27.91424,115.597312,119.631872,126.1568,1204.0900000000001,1592.01,1554.9877777777774,1508.027777777778,12078.010000000002,1215.6844444444446
2026-03-24 11:12:15,28.645597166666665,200.10576836666587,6.6967553000000155,5.270708666663874,16.141796233326506,16.283105466663983,29.339648,297.459712,27.91424,115.597312,119.631872,126.1568,1204.0900000000001,1592.01,1554.9877777777774,1508.027777777778,12078.010000000002,1215.6844444444446
2026-03-24 11:12:20,28.645597166666665,200.10576836666587,6.6967553000000155,5.270708666663874,16.141796233326506,16.283105466663983,29.339648,297.459712,27.91424,115.597312,119.631872,126.1568,1204.0900000000001,1592.01,1554.9877777777774,1508.027777777778,12078.010000000002,1215.6844444444446
2026-03-24 11:12:25,28.645597166666665,200.10576836666587,6.6967553000000155,5.270708666663874,16.141796233326506,16.283105466663983,29.339648,297.459712,27.91424,115.597312,119.631872,126.1568,1204.0900000000001,1592.01,1554.9877777777774,1508.027777777778,12078.010000000002,1215.6844444444446
2026-03-24 11:12:30,28.645597166666665,200.10576836666587,6.6967553000000155,5.270708666663874,16.141796233326506,16.283105466663983,29.339648,297.459712,27.91424,115.597312,119.631872,126.1568,1204.0900000000001,1592.01,1554.9877777777774,1508.027777777778,12078.010000000002,1215.6844444444446
2026-03-24 11:12:35,54.40830950000001,344.6619053000025,11.994207366666744,5.376195500002723,23.083353400003638,28.834486566665873,30.007296,302.075904,28.094464,115.597312,119.681024,126.19776,4710.534444444445,362.26777777777784,5436.604444444444,2669.4444444444443,72396.8711111111,1730.5600000000006
2026-03-24 11:12:40,54.40830950000001,344.6619053000025,11.994207366666743,5.376195500002723,23.083353400003638,28.834486566665873,30.007296,302.075904,28.094464,115.597312,119.681024,126.19776,4710.534444444445,362.26777777777784,5436.604444444444,2669.4444444444443,72396.8711111111,1730.5600000000002
2026-03-24 11:12:45,54.40830950000001,344.6619053000025,11.994207366666743,5.376195500002723,23.083353400003638,28.834486566665873,30.007296,302.075904,28.094464,115.597312,119.681024,126.19776,4710.534444444445,362.26777777777784,5436.604444444444,2669.4444444444443,72396.8711111111,1730.5600000000002
2026-03-24 11:12:50,54.40830950000001,344.6619053000025,11.994207366666743,5.376195500002723,23.083353400003638,28.834486566665873,30.007296,302.075904,28.094464,115.597312,119.681024,126.19776,4710.534444444445,362.26777777777784,5436.604444444444,2669.4444444444443,72396.8711111111,1730.5600000000002
2026-03-24 11:12:55,54.40830950000001,344.6619053000025,11.994207366666743,5.376195500002723,23.083353400003638,28.834486566665873,30.007296,302.075904,28.094464,115.597312,119.681024,126.19776,4710.534444444445,362.26777777777784,5436.604444444444,2669.4444444444443,72396.8711111111,1730.5600000000002
2026-03-24 11:13:00,54.40830950000001,344.6619053000025,11.994207366666743,5.376195500002723,23.083353400003638,28.834486566665873,30.007296,302.075904,28.094464,115.597312,119.681024,126.19776,4710.534444444445,362.26777777777784,5436.604444444444,2669.4444444444443,72396.8711111111,1730.5600000000002
2026-03-24 11:13:05,21.549670366666618,232.49527706666413,7.584382833333338,8.996114266665245,12.829816000006153,20.848438066665647,30.220288,302.030848,27.7504,115.601408,119.68512,126.19776,497.29,938.401111111111,3839.867777777778,2253.0844444444447,128522.25,698.7211111111116
2026-03-24 11:13:10,21.549670366666618,232.49527706666413,7.584382833333336,8.996114266665245,12.829816000006153,20.848438066665647,30.220288,302.030848,27.7504,115.601408,119.68512,126.19776,497.29,938.401111111111,3839.867777777778,2253.0844444444447,128522.25,698.7211111111111
2026-03-24 11:13:15,21.549670366666618,232.49527706666413,7.584382833333336,8.996114266665245,12.829816000006153,20.848438066665647,30.220288,302.030848,27.7504,115.601408,119.68512,126.19776,497.29,938.401111111111,3839.867777777778,2253.0844444444447,128522.25,698.7211111111111
2026-03-24 11:13:20,21.549670366666618,232.49527706666413,7.584382833333336,8.996114266665245,12.829816000006153,20.848438066665647,30.220288,302.030848,27.7504,115.601408,119.68512,126.19776,497.29,938.401111111111,3839.867777777778,2253.0844444444447,128522.25,698.7211111111111
2026-03-24 11:13:25,21.549670366666618,232.49527706666413,7.584382833333336,8.996114266665245,12.829816000006153,20.848438066665647,30.220288,302.030848,27.7504,115.601408,119.68512,126.19776,497.29,938.401111111111,3839.867777777778,2253.0844444444447,128522.25,698.7211111111111
2026-03-24 11:13:30,21.549670366666618,232.49527706666413,7.584382833333336,8.996114266665245,12.829816000006153,20.848438066665647,30.220288,302.030848,27.7504,115.601408,119.68512,126.19776,497.29,938.401111111111,3839.867777777778,2253.0844444444447,128522.25,698.7211111111111
2026-03-24 11:13:35,50.3837680666668,304.6446169000016,12.073707233333291,6.91863453333402,23.902489399991584,20.873160233334904,30.539776,304.275456,27.582464,115.601408,119.697408,126.23872,5022.084444444444,916.071111111111,3395.0044444444443,2520.0400000000004,81834.13777777778,3712.8711111111134
2026-03-24 11:13:40,50.3837680666668,304.6446169000016,12.07370723333329,6.91863453333402,23.902489399991584,20.873160233334904,30.539776,304.275456,27.582464,115.601408,119.697408,126.23872,5022.084444444444,916.071111111111,3395.0044444444443,2520.0400000000004,81834.13777777778,3712.8711111111106
2026-03-24 11:13:45,50.3837680666668,304.6446169000016,12.07370723333329,6.91863453333402,23.902489399991584,20.873160233334904,30.539776,304.275456,27.582464,115.601408,119.697408,126.23872,5022.084444444444,916.071111111111,3395.0044444444443,2520.0400000000004,81834.13777777778,3712.8711111111106
2026-03-24 11:13:50,50.3837680666668,304.6446169000016,12.07370723333329,6.91863453333402,23.902489399991584,20.873160233334904,30.539776,304.275456,27.582464,115.601408,119.697408,126.23872,5022.084444444444,916.071111111111,3395.0044444444443,2520.0400000000004,81834.13777777778,3712.8711111111106
2026-03-24 11:13:55,50.3837680666668,304.6446169000016,12.07370723333329,6.91863453333402,23.902489399991584,20.873160233334904,30.539776,304.275456,27.582464,115.601408,119.697408,126.23872,5022.084444444444,916.071111111111,3395.0044444444443,2520.0400000000004,81834.13777777778,3712.8711111111106
2026-03-24 11:14:00,50.3837680666668,304.6446169000016,12.07370723333329,6.91863453333402,23.902489399991584,20.873160233334904,30.539776,304.275456,27.582464,115.601408,119.697408,126.23872,5022.084444444444,916.071111111111,3395.0044444444443,2520.0400000000004,81834.13777777778,3712.8711111111106
2026-03-24 11:14:05,38.71221449999993,373.0044701666733,10.938290166666677,7.642217600005097,22.973904000006467,21.284373333325373,30.8224,306.253824,27.611136,115.613696,119.783424,126.23872,2550.25,1552.36,2304.0,1401.2544444444443,27214.001111111113,1229.671111111112
