,cpu,mem
ad,92.5955350218202,378.511462602459
cart,235.20237185199736,278.48219774590166
checkout,141.88985960480056,159.5459144467213
currency,504.93092732946485,275.0292648565574
email,49.51940938937027,177.0279200819672
frontend,865.83179673388,232.64824538934425
payment,40.48755090711879,180.6337730532787
productcatalog,382.71156722349514,218.16886526639345
recommendation,442.23519555007056,171.85905481557376
redis-cart,36.672164716394434,128.1844262295082
shipping,76.15886177868404,162.77734375
