timestamp,details-v1-bf9f794fb-zxrkg_cpu,productpage-v1-649f4b6b86-h6nsx_cpu,ratings-v1-5f7bb6dbdd-hb8rk_cpu,reviews-v1-665cdc9c56-bnc58_cpu,reviews-v2-78f7489cc8-kfj2q_cpu,reviews-v3-7778f74db8-bk7k6_cpu,details-v1-bf9f794fb-zxrkg_memory,productpage-v1-649f4b6b86-h6nsx_memory,ratings-v1-5f7bb6dbdd-hb8rk_memory,reviews-v1-665cdc9c56-bnc58_memory,reviews-v2-78f7489cc8-kfj2q_memory,reviews-v3-7778f74db8-bk7k6_memory,details-v1-bf9f794fb-zxrkg_network,productpage-v1-649f4b6b86-h6nsx_network,reviews-v1-665cdc9c56-bnc58_network,ratings-v1-5f7bb6dbdd-hb8rk_network,reviews-v2-78f7489cc8-kfj2q_network,reviews-v3-7778f74db8-bk7k6_network
2026-03-24 13:20:00,20.064074000000197,126.27861963333089,5.517333433333249,6.152935133331994,13.735450733338439,3.5762205333412567,35.08224,305.782784,30.531584,116.518912,120.745984,126.58688,2801.9377777777772,20391.840000000004,443.8044444444444,535.151111111111,660.49,1592.01
2026-03-24 13:20:05,74.98713146666678,620.2359290666664,19.87042320000008,7.403776899991499,40.109273133324066,46.421397533322306,35.762176,310.603776,30.420992,116.38784,120.868864,126.742528,9525.759999999998,110955.61000000002,643.4677777777778,3969.000000000002,3192.25,3782.25
2026-03-24 13:20:10,74.98713146666678,620.2359290666664,19.870423200000076,7.403776899991499,40.109273133324066,46.421397533322306,35.762176,310.603776,30.420992,116.38784,120.868864,126.742528,9525.759999999998,110955.61000000002,643.4677777777778,3969.0,3192.25,3782.25
2026-03-24 13:20:15,74.98713146666678,620.2359290666664,19.870423200000076,7.403776899991499,40.109273133324066,46.421397533322306,35.762176,310.603776,30.420992,116.38784,120.868864,126.742528,9525.759999999998,110955.61000000002,643.4677777777778,3969.0,3192.25,3782.25
2026-03-24 13:20:20,74.98713146666678,620.2359290666664,19.870423200000076,7.403776899991499,40.109273133324066,46.421397533322306,35.762176,310.603776,30.420992,116.38784,120.868864,126.742528,9525.759999999998,110955.61000000002,643.4677777777778,3969.0,3192.25,3782.25
2026-03-24 13:20:25,74.98713146666678,620.2359290666664,19.870423200000076,7.403776899991499,40.109273133324066,46.421397533322306,35.762176,310.603776,30.420992,116.38784,120.868864,126.742528,9525.759999999998,110955.61000000002,643.4677777777778,3969.0,3192.25,3782.25
2026-03-24 13:20:30,74.98713146666678,620.2359290666664,19.870423200000076,7.403776899991499,40.109273133324066,46.421397533322306,35.762176,310.603776,30.420992,116.38784,120.868864,126.742528,9525.759999999998,110955.61000000002,643.4677777777778,3969.0,3192.25,3782.25
2026-03-24 13:20:35,56.565606800000026,517.1808359666709,20.63384093333329,13.74525913333855,38.68600176667012,75.04893636667778,36.10624,310.628352,30.195712,116.38784,120.97536,127.13984,3848.1344444444444,549179.8044444445,2013.0177777777778,1502.8544444444449,5975.29,3782.25
2026-03-24 13:20:40,56.565606800000026,517.1808359666709,20.633840933333282,13.74525913333855,38.68600176667012,75.04893636667778,36.10624,310.628352,30.195712,116.38784,120.97536,127.13984,3848.1344444444444,549179.8044444445,2013.0177777777778,1502.8544444444444,5975.29,3782.25
2026-03-24 13:20:45,56.565606800000026,517.1808359666709,20.633840933333282,13.74525913333855,38.68600176667012,75.04893636667778,36.10624,310.628352,30.195712,116.38784,120.97536,127.13984,3848.1344444444444,549179.8044444445,2013.0177777777778,1502.8544444444444,5975.29,3782.25
2026-03-24 13:20:50,56.565606800000026,517.1808359666709,20.633840933333282,13.74525913333855,38.68600176667012,75.04893636667778,36.10624,310.628352,30.195712,116.38784,120.97536,127.13984,3848.1344444444444,549179.8044444445,2013.0177777777778,1502.8544444444444,5975.29,3782.25
2026-03-24 13:20:55,56.565606800000026,517.1808359666709,20.633840933333282,13.74525913333855,38.68600176667012,75.04893636667778,36.10624,310.628352,30.195712,116.38784,120.97536,127.13984,3848.1344444444444,549179.8044444445,2013.0177777777778,1502.8544444444444,5975.29,3782.25
2026-03-24 13:21:00,56.565606800000026,517.1808359666709,20.633840933333282,13.74525913333855,38.68600176667012,75.04893636667778,36.10624,310.628352,30.195712,116.38784,120.97536,127.13984,3848.1344444444444,549179.8044444445,2013.0177777777778,1502.8544444444444,5975.29,3782.25
2026-03-24 13:21:05,99.70112533333311,336.06363926666444,16.371181866666742,17.592802866662772,36.428083966666236,35.074435433322535,36.532224,312.897536,30.523392,116.396032,120.983552,127.176704,7832.25,271823.2011111111,2714.4100000000003,7980.444444444446,4203.36111111111,3696.64
2026-03-24 13:21:10,99.70112533333311,336.06363926666444,16.37118186666674,17.592802866662772,36.428083966666236,35.074435433322535,36.532224,312.897536,30.523392,116.396032,120.983552,127.176704,7832.25,271823.2011111111,2714.4100000000003,7980.444444444443,4203.36111111111,3696.64
2026-03-24 13:21:15,99.70112533333311,336.06363926666444,16.37118186666674,17.592802866662772,36.428083966666236,35.074435433322535,36.532224,312.897536,30.523392,116.396032,120.983552,127.176704,7832.25,271823.2011111111,2714.4100000000003,7980.444444444443,4203.36111111111,3696.64
2026-03-24 13:21:20,99.70112533333311,336.06363926666444,16.37118186666674,17.592802866662772,36.428083966666236,35.074435433322535,36.532224,312.897536,30.523392,116.396032,120.983552,127.176704,7832.25,271823.2011111111,2714.4100000000003,7980.444444444443,4203.36111111111,3696.64
2026-03-24 13:21:25,99.70112533333311,336.06363926666444,16.37118186666674,17.592802866662772,36.428083966666236,35.074435433322535,36.532224,312.897536,30.523392,116.396032,120.983552,127.176704,7832.25,271823.2011111111,2714.4100000000003,7980.444444444443,4203.36111111111,3696.64
2026-03-24 13:21:30,99.70112533333311,336.06363926666444,16.37118186666674,17.592802866662772,36.428083966666236,35.074435433322535,36.532224,312.897536,30.523392,116.396032,120.983552,127.176704,7832.25,271823.2011111111,2714.4100000000003,7980.444444444443,4203.36111111111,3696.64
2026-03-24 13:21:35,71.39186703333328,524.985829966666,17.85562086666666,14.906607766670277,20.164484066663135,36.33916336666516,37.25312,312.745984,30.49472,116.436992,121.032704,127.266816,12173.444444444443,214770.45444444445,1886.454444444444,2962.9877777777797,5309.55111111111,2826.6944444444443
2026-03-24 13:21:40,71.39186703333328,524.985829966666,17.855620866666655,14.906607766670277,20.164484066663135,36.33916336666516,37.25312,312.745984,30.49472,116.436992,121.032704,127.266816,12173.444444444443,214770.45444444445,1886.454444444444,2962.9877777777774,5309.55111111111,2826.6944444444443
2026-03-24 13:21:45,71.39186703333328,524.985829966666,17.855620866666655,14.906607766670277,20.164484066663135,36.33916336666516,37.25312,312.745984,30.49472,116.436992,121.032704,127.266816,12173.444444444443,214770.45444444445,1886.454444444444,2962.9877777777774,5309.55111111111,2826.6944444444443
2026-03-24 13:21:50,71.39186703333328,524.985829966666,17.855620866666655,14.906607766670277,20.164484066663135,36.33916336666516,37.25312,312.745984,30.49472,116.436992,121.032704,127.266816,12173.444444444443,214770.45444444445,1886.454444444444,2962.9877777777774,5309.55111111111,2826.6944444444443
2026-03-24 13:21:55,71.39186703333328,524.985829966666,17.855620866666655,14.906607766670277,20.164484066663135,36.33916336666516,37.25312,312.745984,30.49472,116.436992,121.032704,127.266816,12173.444444444443,214770.45444444445,1886.454444444444,2962.9877777777774,5309.55111111111,2826.6944444444443
2026-03-24 13:22:00,71.39186703333328,524.985829966666,17.855620866666655,14.906607766670277,20.164484066663135,36.33916336666516,37.25312,312.745984,30.49472,116.436992,121.032704,127.266816,12173.444444444443,214770.45444444445,1886.454444444444,2962.9877777777774,5309.55111111111,2826.6944444444443
