timestamp,details-v1,ratings-v1,reviews-v1,reviews-v2,reviews-v3
2026-03-24 13:20:00,1.0,1.0,1.0,1.0,1.0
2026-03-24 13:20:05,1.0,1.0,1.0,1.0,1.0
2026-03-24 13:20:10,1.0,1.0,1.0,1.0,1.0
2026-03-24 13:21:15,1.0,1.0,1.0,1.0,1.0
2026-03-24 13:21:20,1.0,1.0,1.0,1.0,1.0
2026-03-24 13:21:25,1.0,1.0,1.0,1.0,1.0
2026-03-24 13:21:30,1.0,1.0,1.0,1.0,1.0
2026-03-24 13:21:35,1.0,1.0,1.0,1.0,1.0
2026-03-24 13:21:40,1.0,1.0,1.0,1.0,1.0
2026-03-24 13:21:45,1.0,1.0,1.0,1.0,1.0
2026-03-24 13:21:50,1.0,1.0,1.0,1.0,1.0
2026-03-24 13:21:55,1.0,1.0,1.0,1.0,1.0
2026-03-24 13:22:00,1.0,1.0,1.0,1.0,1.0
2026-03-24 13:22:05,1.0,1.0,1.0,1.0,1.0
2026-03-24 13:22:10,1.0,1.0,1.0,1.0,1.0
2026-03-24 13:22:15,1.0,1.0,1.0,1.0,1.0
2026-03-24 13:22:20,1.0,1.0,1.0,,1.0
2026-03-24 13:22:25,1.0,1.0,1.0,,1.0
timestamp,details-v1,ratings-v1,reviews-v1,reviews-v2,reviews-v3
2026-03-24 13:20:00,1.0,1.0,1.0,1.0,1.0
2026-03-24 13:20:05,1.0,1.0,1.0,1.0,1.0
2026-03-24 13:20:10,1.0,1.0,1.0,1.0,1.0
2026-03-24 13:21:15,1.0,1.0,1.0,1.0,1.0
2026-03-24 13:21:20,1.0,1.0,1.0,1.0,1.0
2026-03-24 13:21:25,1.0,1.0,1.0,1.0,1.0
2026-03-24 13:21:30,1.0,1.0,1.0,1.0,1.0
2026-03-24 13:21:35,1.0,1.0,1.0,1.0,1.0
2026-03-24 13:21:40,1.0,1.0,1.0,1.0,1.0
2026-03-24 13:21:45,1.0,1.0,1.0,1.0,1.0
2026-03-24 13:21:50,1.0,1.0,1.0,1.0,1.0
2026-03-24 13:21:55,1.0,1.0,1.0,1.0,1.0
2026-03-24 13:22:00,1.0,1.0,1.0,1.0,1.0
2026-03-24 13:22:05,1.0,1.0,1.0,1.0,1.0
2026-03-24 13:22:10,1.0,1.0,1.0,1.0,1.0
2026-03-24 13:22:15,1.0,1.0,1.0,1.0,1.0
2026-03-24 13:22:20,1.0,1.0,1.0,,1.0
2026-03-24 13:22:25,1.0,1.0,1.0,,1.0
