2026-03-24 17:25:35,536 - INFO - episode:29 reward:0.30000000000000004 Actions:[[4, 0], [5, 1], [8, 1], [1, 0], [7, 1], [6, 1], [2, 0], [3, 1], [0, 0], [9, 0]]
2026-03-24 17:25:35,537 - INFO - episode:30 reward:1.0 Actions:[[4, 0], [0, 0], [9, 2], [2, 0], [7, 0], [5, 0], [8, 1], [1, 1], [3, 1], [6, 0]]
2026-03-24 17:25:35,539 - INFO - episode:31 reward:0.6000000000000001 Actions:[[8, 0], [0, 2], [1, 1], [6, 0], [4, 0], [9, 4], [5, 0], [2, 0], [3, 0], [7, 2]]
2026-03-24 17:25:35,540 - INFO - episode:32 reward:0.1 Actions:[[2, 1], [8, 1], [4, 2], [7, 0], [6, 0], [3, 0], [5, 0], [9, 0], [1, 3], [0, 0]]
2026-03-24 17:25:35,542 - INFO - episode:33 reward:2.1 Actions:[[9, 1], [5, 1], [0, 0], [1, 0], [3, 1], [2, 2], [4, 0], [6, 0], [8, 0], [7, 0]]
2026-03-24 17:25:35,543 - INFO - episode:34 reward:1.0 Actions:[[3, 2], [0, 2], [7, 4], [4, 0], [8, 0], [9, 1], [2, 1], [6, 0], [5, 1], [1, 1]]
2026-03-24 17:25:35,545 - INFO - episode:35 reward:2.8 Actions:[[2, 1], [3, 3], [4, 0], [5, 3], [1, 2], [6, 1], [0, 0], [8, 0], [9, 1], [7, 0]]
2026-03-24 17:25:35,546 - INFO - episode:36 reward:2.1 Actions:[[0, 0], [5, 1], [7, 3], [9, 2], [6, 1], [4, 0], [8, 0], [1, 1], [2, 0], [3, 0]]
2026-03-24 17:25:35,548 - INFO - episode:37 reward:1.0 Actions:[[0, 0], [7, 2], [5, 0], [9, 0], [3, 0], [6, 0], [8, 0], [1, 0], [2, 0], [4, 0]]
2026-03-24 17:25:35,549 - INFO - episode:38 reward:1.0 Actions:[[3, 0], [6, 0], [7, 0], [0, 2], [9, 0], [5, 0], [8, 0], [4, 0], [1, 0], [2, 0]]
