,cpu,mem
frontend,0.306038841,0.092298934
ad,0.036820716,0.134617052
checkout,0.142884871,0.145367897
cart,0.076805317,0.089328846
currency,0.155148392,0.086813827
email,0.012836131,0.090119233
payment,0.009774649,0.083339013
productcatalog,0.135731273,0.065998428
recommendation,0.080577612,0.094378611
shipping,0.021890097,0.060902662
cart,0.021492101,0.056835497
