10,284.088 
20,121.290 
30,387.243 
40,303.848 
50,330.222 
60,203.928 
70,165.091 
80,267.090 
90,383.639 
100,275.032 
110,166.797 
120,256.028 
130,269.427 
140,219.975 
150,215.072 
160,379.973 
170,66.845 
180,235.939 
190,289.004 
200,314.320 
210,253.228 
220,212.839 
230,215.950 
240,258.715 
250,130.444 
260,363.863 
270,355.042 
280,359.746 
290,385.247 
300,115.776 
310,365.808 
320,411.140 
330,285.488 
340,245.316 
350,139.419 
360,373.055 
370,384.268 
380,217.993 
390,235.003 
400,237.312 
410,368.718 
420,279.899 
430,165.963 
440,217.993 
450,219.158 
460,124.103 
470,305.841 
480,95.630 
490,306.178 
500,281.963 
510,392.680 
520,360.785 
530,254.628 
540,388.077 
550,221.717 
560,380.411 
570,297.008 
580,138.940 
590,304.320 
600,301.761 
610,127.885 
620,357.393 
630,110.998 
640,360.427 
650,277.562 
660,140.731 
670,97.436 
680,364.434 
690,264.691 
700,282.008 
710,241.758 
720,348.410 
730,380.770 
740,307.257 
750,140.915 
760,264.531 
770,361.526 
780,405.366 
790,370.270 
800,378.514 
810,248.721 
820,124.103 
830,211.054 
840,212.117 
850,247.652 
860,128.107 
870,125.561 
880,331.386 
890,393.868 
900,391.242 
910,175.275 
920,304.904 
930,399.376 
940,358.988 
950,297.008 
960,281.071 
970,244.317 
980,231.655 
990,117.062 
1000,108.661 
1010,271.378 
1020,395.929 
1030,253.228 
1040,384.827 
1050,106.102 
10,355.979 
20,297.008 
30,214.400 
40,378.477 
50,138.146 
60,285.236 
70,232.666 
80,303.047 
90,410.659 
100,385.637 
110,127.885 
120,386.827 
130,387.435 
140,269.427 
150,221.717 
160,139.419 
170,285.236 
180,218.516 
190,386.913 
200,258.124 
210,303.984 
220,225.648 
230,221.825 
240,390.788 
250,350.853 
260,214.177 
270,321.137 
280,363.808 
290,149.604 
300,121.766 
310,385.102 
320,101.918 
330,199.755 
340,391.242 
350,309.816 
360,100.526 
370,255.565 
380,244.095 
390,277.562 
400,393.592 
410,266.691 
420,118.335 
430,233.623 
440,214.849 
450,413.764 
460,280.512 
470,236.200 
480,410.659 
490,279.449 
500,203.928 
510,380.741 
520,364.489 
530,287.854 
540,386.726 
550,289.004 
560,284.300 
570,100.526 
580,362.306 
590,115.998 
600,114.503 
610,220.012 
620,237.034 
630,387.164 
640,338.537 
650,282.677 
660,197.111 
670,118.953 
680,284.695 
690,138.356 
700,118.335 
710,140.731 
720,245.513 
730,140.483 
740,138.356 
750,93.814 
760,206.244 
770,383.390 
780,391.033 
790,336.385 
10,304.920 
10,217.675 
20,395.929 
20,279.404 
30,348.495 
30,362.289 
40,245.316 
40,352.323 
50,361.472 
50,306.320 
60,110.818 
60,296.879 
70,380.741 
70,287.616 
80,287.632 
80,395.996 
90,201.450 
90,386.371 
100,389.309 
100,149.604 
110,412.996 
110,68.895 
120,361.104 
120,236.182 
130,217.453 
140,392.680 
130,321.137 
150,232.666 
140,269.041 
160,355.042 
150,163.109 
170,207.023 
160,375.166 
180,217.735 
170,228.207 
190,383.102 
180,385.390 
190,412.414 
200,392.680 
200,241.680 
210,278.512 
210,366.012 
220,108.661 
220,381.125 
230,64.478 
230,344.237 
240,385.115 
240,368.351 
250,240.770 
250,256.708 
260,395.929 
260,91.372 
270,387.452 
270,285.504 
280,283.422 
280,344.237 
290,118.335 
290,197.111 
300,264.354 
300,140.915 
310,175.275 
310,385.518 
320,285.567 
320,307.701 
330,213.998 
330,140.915 
340,253.133 
340,277.160 
350,233.544 
360,149.774 
350,362.563 
360,215.072 
370,307.241 
370,386.346 
380,334.475 
380,216.575 
390,402.746 
390,362.918 
400,277.562 
400,285.775 
410,386.827 
410,221.075 
420,286.445 
420,206.265 
430,413.218 
440,358.988 
430,136.860 
450,337.034 
440,269.427 
460,197.388 
450,246.576 
470,355.540 
460,215.072 
480,163.818 
470,329.663 
490,360.563 
480,353.391 
500,375.166 
490,116.840 
500,215.950 
510,289.903 
510,231.286 
520,115.998 
520,166.797 
530,227.028 
530,277.382 
540,283.236 
550,406.015 
540,136.019 
550,290.192 
560,402.998 
560,118.335 
570,149.774 
570,137.083 
580,227.593 
580,299.345 
590,118.731 
590,370.496 
600,306.320 
600,203.706 
610,116.840 
610,282.008 
620,217.735 
620,138.356 
630,239.955 
630,106.102 
640,299.345 
640,139.419 
650,360.868 
650,123.002 
660,220.012 
660,380.814 
670,389.243 
670,378.434 
680,385.637 
680,141.277 
690,391.242 
690,386.605 
700,199.113 
700,306.320 
710,140.915 
710,275.003 
720,118.731 
720,130.444 
730,353.391 
740,114.503 
730,237.034 
740,139.419 
750,98.710 
750,142.628 
760,387.470 
760,281.071 
770,267.090 
770,351.054 
780,286.216 
780,121.766 
790,225.887 
790,206.265 
