2026-03-26 04:06:10,762 - INFO - Start algorithm execution: algorithms.RL.main
2026-03-26 04:06:10,762 - INFO - RL using gamma=0.95 (DRDQL_GAMMA=)
2026-03-26 04:06:11,584 - INFO - episode:41 totalReward:-100 Actions:[[3, 3], [0, 5], [5, 5], [2, 4], [1, 0], [4, 0]]
2026-03-26 04:06:11,590 - INFO - episode:42 totalReward:-100 Actions:[[0, 4], [5, 4], [3, 0], [4, 3], [1, 4], [2, 5]]
2026-03-26 04:06:11,597 - INFO - episode:43 totalReward:-100 Actions:[[3, 0], [2, 2], [1, 5], [0, 4], [5, 1], [4, 1]]
2026-03-26 04:06:11,604 - INFO - episode:44 totalReward:-100 Actions:[[3, 0], [0, 4], [4, 3], [5, 4], [2, 5], [1, 4]]
2026-03-26 04:06:11,611 - INFO - episode:45 totalReward:-100 Actions:[[4, 3], [3, 3], [2, 5], [1, 4], [0, 3], [5, 4]]
2026-03-26 04:06:11,617 - INFO - episode:46 totalReward:628.874785796932 Actions:[[4, 1], [3, 0], [0, 1], [1, 0], [5, 3], [2, 5]]
2026-03-26 04:06:11,623 - INFO - episode:47 totalReward:-100 Actions:[[3, 0], [1, 5], [5, 5], [0, 5], [2, 1], [4, 2]]
2026-03-26 04:06:11,628 - INFO - episode:48 totalReward:628.874785796932 Actions:[[3, 0], [2, 5], [5, 3], [1, 0], [4, 1], [0, 1]]
2026-03-26 04:06:11,634 - INFO - episode:49 totalReward:387.3117269102063 Actions:[[1, 0], [0, 1], [3, 5], [2, 4], [4, 0], [5, 1]]
2026-03-26 04:06:11,641 - INFO - episode:50 totalReward:-100 Actions:[[3, 0]]
2026-03-26 04:06:11,650 - INFO - episode:51 totalReward:180.14667195401236 Actions:[[0, 1], [1, 5], [2, 5], [5, 5], [4, 5], [3, 2]]
2026-03-26 04:06:11,656 - INFO - episode:52 totalReward:-100 Actions:[[0, 4], [2, 5], [3, 3], [4, 3], [1, 2], [5, 1]]
2026-03-26 04:06:11,672 - INFO - episode:53 totalReward:-100 Actions:[[3, 0], [2, 1], [0, 1], [4, 3], [5, 0], [1, 5]]
2026-03-26 04:06:11,680 - INFO - episode:54 totalReward:-100 Actions:[[3, 0], [2, 3], [4, 2], [5, 1], [0, 5], [1, 5]]
2026-03-26 04:06:11,686 - INFO - episode:55 totalReward:-100 Actions:[[5, 3], [3, 0], [0, 4], [1, 2], [4, 0], [2, 0]]
2026-03-26 04:06:11,694 - INFO - episode:56 totalReward:-100 Actions:[[0, 4], [5, 5], [3, 0], [4, 3], [2, 1], [1, 4]]
2026-03-26 04:06:11,702 - INFO - episode:57 totalReward:794.8773961338375 Actions:[[2, 5], [1, 0], [0, 0], [3, 4], [5, 5], [4, 1]]
2026-03-26 04:06:11,710 - INFO - episode:58 totalReward:-100 Actions:[[1, 0], [3, 0], [2, 1], [0, 0], [5, 4], [4, 3]]
2026-03-26 04:06:11,731 - INFO - episode:59 totalReward:-100 Actions:[[5, 4], [0, 5], [2, 5], [1, 3], [3, 5], [4, 3]]
2026-03-26 04:06:11,738 - INFO - episode:60 totalReward:-100 Actions:[[1, 0], [4, 1], [0, 1]]
2026-03-26 04:06:11,747 - INFO - episode:61 totalReward:-100 Actions:[[1, 3], [3, 3], [2, 1], [5, 1], [4, 1], [0, 3]]
2026-03-26 04:06:11,766 - INFO - episode:62 totalReward:-100 Actions:[[3, 0], [4, 0], [0, 5], [2, 3], [1, 3], [5, 0]]
2026-03-26 04:06:11,773 - INFO - episode:63 totalReward:-100 Actions:[[2, 5], [1, 0], [3, 2], [4, 3], [0, 5], [5, 2]]
2026-03-26 04:06:11,782 - INFO - episode:64 totalReward:-100 Actions:[[3, 0], [5, 1], [2, 3], [1, 5], [4, 1], [0, 1]]
