,cpu,mem
ad,62.178319108196355,372.57870133196724
cart,137.2052097748633,276.3582223360656
checkout,56.963266727868806,149.80673668032787
currency,245.96481556283823,264.6233350409836
email,35.68397585136608,177.21810963114754
frontend,478.53477091748795,203.31416495901638
payment,27.876008515846507,179.90983606557376
productcatalog,227.8718835923479,212.45639088114754
recommendation,164.06951741202187,161.89446721311475
redis-cart,44.248547799453355,127.875
shipping,34.89112592240388,164.44665727459017
