timestamp,redis-cart-58fbf7f7c6-k7fnt_cpu,frontend-77cd85d5b4-qvc6w_cpu,productcatalogservice-596d5c8f9f-gkz8l_cpu,shippingservice-f899f4b4c-wc9v4_cpu,adservice-b87685d75-vbkk7_cpu,cartservice-7d5b58b444-hx8vh_cpu,checkoutservice-7b67c7c4c8-stjfw_cpu,currencyservice-76f5d795cc-8c7mz_cpu,emailservice-59c9565948-8g9bx_cpu,paymentservice-54569c46cc-gpfvj_cpu,recommendationservice-5c8d676599-v4qcr_cpu,redis-cart-58fbf7f7c6-k7fnt_memory,frontend-77cd85d5b4-qvc6w_memory,productcatalogservice-596d5c8f9f-gkz8l_memory,shippingservice-f899f4b4c-wc9v4_memory,adservice-b87685d75-vbkk7_memory,cartservice-7d5b58b444-hx8vh_memory,checkoutservice-7b67c7c4c8-stjfw_memory,currencyservice-76f5d795cc-8c7mz_memory,emailservice-59c9565948-8g9bx_memory,paymentservice-54569c46cc-gpfvj_memory,recommendationservice-5c8d676599-v4qcr_memory,shippingservice-f899f4b4c-wc9v4_network,redis-cart-58fbf7f7c6-k7fnt_network,currencyservice-76f5d795cc-8c7mz_network,paymentservice-54569c46cc-gpfvj_network,adservice-b87685d75-vbkk7_network,checkoutservice-7b67c7c4c8-stjfw_network,emailservice-59c9565948-8g9bx_network,recommendationservice-5c8d676599-v4qcr_network,frontend-77cd85d5b4-qvc6w_network,cartservice-7d5b58b444-hx8vh_network,productcatalogservice-596d5c8f9f-gkz8l_network
2026-03-24 09:10:00,8.128248399998483,55.2796171666652,19.919133466667443,1.2633197666663893,6.479557333333713,18.70355946666678,1.5067456000000001,25.327563733333147,4.826727466666608,0.19464000000084528,17.92473173333349,11.739136,17.997824,19.447808,16.105472,103.75168,55.27552,8.802304,49.086464,38.313984,29.663232,33.640448,1137.937777777778,85.87111111111112,1778.0277777777783,328.8177777777779,1211.0400000000002,2934.027777777779,218.05444444444458,516.8044444444447,26547.271111111113,296.9877777777779,421.61777777777786
2026-03-24 09:10:05,15.856975933335585,14.834378300001086,9.971058866665317,2.258191833333475,6.479557333333711,18.703559466666775,1.5067456,25.327563733333136,4.826727466666607,0.19464000000084525,17.924731733333488,11.739136,18.08384,19.464192,16.207872,103.75168,55.27552,8.802304,49.086464,38.313984,29.663232,33.640448,443.8044444444446,125.43999999999998,1778.0277777777776,328.81777777777774,1211.0399999999997,2934.0277777777774,218.05444444444447,516.8044444444445,37468.054444444446,296.9877777777778,1069.2900000000002
2026-03-24 09:10:10,15.856975933335585,14.834378300001086,9.971058866665317,2.2581918333334743,6.479557333333711,18.703559466666775,1.5067456,25.327563733333136,4.826727466666607,0.19464000000084525,17.924731733333488,11.739136,18.08384,19.464192,16.207872,103.75168,55.27552,8.802304,49.086464,38.313984,29.663232,33.640448,443.8044444444444,125.43999999999998,1778.0277777777776,328.81777777777774,1211.0399999999997,2934.0277777777774,218.05444444444447,516.8044444444445,37468.054444444446,296.9877777777778,1069.2900000000002
2026-03-24 09:10:15,15.856975933335585,14.834378300001086,9.971058866665317,2.2581918333334743,6.479557333333711,18.703559466666775,1.5067456,25.327563733333136,4.826727466666607,0.19464000000084525,17.924731733333488,11.739136,18.08384,19.464192,16.207872,103.75168,55.27552,8.802304,49.086464,38.313984,29.663232,33.640448,443.8044444444444,125.43999999999998,1778.0277777777776,328.81777777777774,1211.0399999999997,2934.0277777777774,218.05444444444447,516.8044444444445,37468.054444444446,296.9877777777778,1069.2900000000002
2026-03-24 09:10:20,15.856975933335585,14.834378300001086,9.971058866665317,2.2581918333334743,8.660573866666256,37.09177599999976,6.361288533333333,41.35679893333494,6.831924266666673,4.662447999999132,27.72142079999991,11.739136,18.08384,19.464192,16.207872,103.968768,55.27552,8.695808,49.287168,38.313984,30.26944,33.964032,443.8044444444444,125.43999999999998,635.0400000000002,300.4444444444445,209.28444444444455,1675.5377777777787,43.121111111111134,547.5600000000001,37468.054444444446,2628.2711111111125,1069.2900000000002
2026-03-24 09:10:25,15.856975933335585,14.834378300001086,9.971058866665317,2.2581918333334743,8.660573866666256,37.09177599999976,6.361288533333333,41.35679893333494,6.831924266666673,4.662447999999132,27.72142079999991,11.739136,18.08384,19.464192,16.207872,103.968768,55.27552,8.695808,49.287168,38.313984,30.26944,33.964032,443.8044444444444,125.43999999999998,635.0400000000002,300.4444444444445,209.28444444444455,1675.5377777777787,43.121111111111134,547.5600000000001,37468.054444444446,2628.2711111111125,1069.2900000000002
2026-03-24 09:10:30,15.856975933335585,14.834378300001086,9.971058866665317,2.2581918333334743,8.660573866666256,37.09177599999976,6.361288533333333,41.35679893333494,6.831924266666673,4.662447999999132,27.72142079999991,11.739136,18.08384,19.464192,16.207872,103.968768,55.27552,8.695808,49.287168,38.313984,30.26944,33.964032,443.8044444444444,125.43999999999998,635.0400000000002,300.4444444444445,209.28444444444455,1675.5377777777787,43.121111111111134,547.5600000000001,37468.054444444446,2628.2711111111125,1069.2900000000002
2026-03-24 09:10:35,13.500480700001088,91.57473726666771,42.19231933333466,3.8022810999999983,8.660573866666255,37.091775999999754,6.361288533333331,41.35679893333493,6.83192426666667,4.662447999999131,27.7214207999999,11.739136,18.526208,19.406848,15.945728,103.968768,55.27552,8.695808,49.287168,38.313984,30.26944,33.964032,169.00000000000009,228.01,635.04,300.4444444444444,209.28444444444446,1675.5377777777776,43.121111111111105,547.56,65758.05444444445,2628.271111111111,2812.534444444444
2026-03-24 09:10:40,13.500480700001088,91.57473726666771,42.19231933333466,3.8022810999999974,8.660573866666255,37.091775999999754,6.361288533333331,41.35679893333493,6.83192426666667,4.662447999999131,27.7214207999999,11.739136,18.526208,19.406848,15.945728,103.968768,55.27552,8.695808,49.287168,38.313984,30.26944,33.964032,169.0,228.01,635.04,300.4444444444444,209.28444444444446,1675.5377777777776,43.121111111111105,547.56,65758.05444444445,2628.271111111111,2812.534444444444
2026-03-24 09:10:45,13.500480700001088,91.57473726666771,42.19231933333466,3.8022810999999974,8.660573866666255,37.091775999999754,6.361288533333331,41.35679893333493,6.83192426666667,4.662447999999131,27.7214207999999,11.739136,18.526208,19.406848,15.945728,103.968768,55.27552,8.695808,49.287168,38.313984,30.26944,33.964032,169.0,228.01,635.04,300.4444444444444,209.28444444444446,1675.5377777777776,43.121111111111105,547.56,65758.05444444445,2628.271111111111,2812.534444444444
