2026-03-24 17:26:45,198 - INFO - episode:27 reward:0.30000000000000004 Actions:[[8, 4], [9, 0], [2, 4], [1, 0], [6, 2], [5, 0], [7, 0], [0, 5], [3, 0], [4, 2]]
2026-03-24 17:26:45,219 - INFO - episode:28 reward:2.8 Actions:[[2, 1], [4, 0], [8, 3], [6, 0], [3, 2], [0, 0], [9, 1], [5, 3], [7, 1], [1, 1]]
2026-03-24 17:26:45,240 - INFO - episode:29 reward:0.1 Actions:[[8, 2], [3, 2], [6, 2], [7, 0], [1, 1], [0, 1], [5, 0], [9, 1], [4, 1], [2, 0]]
2026-03-24 17:26:45,261 - INFO - episode:30 reward:3.5999999999999996 Actions:[[0, 2], [3, 3], [2, 2], [5, 0], [8, 5], [7, 0], [1, 1], [9, 1], [6, 1], [4, 3]]
2026-03-24 17:26:45,283 - INFO - episode:31 reward:3.5999999999999996 Actions:[[3, 3], [7, 2], [1, 2], [0, 0], [2, 1], [8, 4], [9, 0], [4, 0], [6, 0], [5, 3]]
2026-03-24 17:26:45,304 - INFO - episode:32 reward:0.1 Actions:[[8, 1], [4, 1], [0, 2], [3, 1], [9, 0], [1, 1], [5, 2], [7, 1], [6, 3], [2, 4]]
2026-03-24 17:26:45,325 - INFO - episode:33 reward:2.8 Actions:[[9, 1], [6, 1], [3, 0], [0, 0], [5, 1], [7, 3], [8, 2], [1, 0], [2, 3], [4, 0]]
2026-03-24 17:26:45,346 - INFO - episode:34 reward:1.0 Actions:[[9, 2], [7, 3], [2, 4], [8, 0], [1, 0], [3, 1], [4, 1], [0, 1], [6, 1], [5, 1]]
2026-03-24 17:26:45,367 - INFO - episode:35 reward:2.1 Actions:[[7, 1], [3, 3], [8, 0], [0, 3], [4, 2], [2, 1], [5, 0], [9, 1], [1, 2], [6, 1]]
2026-03-24 17:26:45,388 - INFO - episode:36 reward:2.8 Actions:[[0, 1], [7, 1], [2, 3], [8, 2], [5, 1], [9, 0], [4, 4], [3, 1], [6, 2], [1, 0]]
2026-03-24 17:26:45,410 - INFO - episode:37 reward:1.0 Actions:[[7, 0], [3, 2], [9, 1], [0, 0], [1, 0], [6, 1], [4, 0], [8, 1], [2, 5], [5, 0]]
2026-03-24 17:26:45,431 - INFO - episode:38 reward:2.8 Actions:[[8, 2], [9, 0], [3, 0], [6, 1], [4, 0], [2, 1], [5, 1], [0, 0], [1, 0], [7, 1]]
2026-03-24 17:26:45,452 - INFO - episode:39 reward:2.8 Actions:[[7, 3], [3, 0], [6, 1], [4, 3], [5, 1], [2, 3], [0, 2], [8, 0], [9, 3], [1, 3]]
2026-03-24 17:26:45,473 - INFO - episode:40 reward:1.5 Actions:[[4, 1], [0, 0], [9, 0], [7, 5], [6, 1], [1, 0], [2, 1], [5, 0], [8, 1], [3, 1]]
2026-03-24 17:26:45,494 - INFO - episode:41 reward:1.0 Actions:[[0, 1], [1, 0], [8, 2], [3, 3], [2, 2], [7, 2], [5, 0], [9, 1], [4, 1], [6, 1]]
2026-03-24 17:26:45,515 - INFO - episode:42 reward:3.5999999999999996 Actions:[[6, 1], [7, 2], [9, 3], [3, 3], [4, 0], [1, 1], [0, 3], [8, 4], [5, 4], [2, 4]]
2026-03-24 17:26:45,539 - INFO - episode:43 reward:4.5 Actions:[[5, 0], [8, 5], [9, 2], [7, 4], [3, 1], [1, 3], [0, 2], [6, 1], [2, 1], [4, 3]]
2026-03-24 17:26:45,560 - INFO - episode:44 reward:1.0 Actions:[[0, 1], [7, 1], [4, 0], [6, 1], [2, 1], [1, 1], [5, 2], [9, 2], [3, 0], [8, 1]]
2026-03-24 17:26:45,582 - INFO - episode:45 reward:2.8 Actions:[[3, 2], [8, 3], [4, 0], [9, 2], [6, 2], [0, 5], [2, 1], [1, 2], [7, 4], [5, 0]]
2026-03-24 17:26:45,603 - INFO - episode:46 reward:1.5 Actions:[[2, 2], [3, 2], [6, 1], [4, 0], [0, 2], [7, 2], [1, 1], [9, 0], [8, 3], [5, 1]]
2026-03-24 17:26:45,624 - INFO - episode:47 reward:2.8 Actions:[[2, 5], [9, 0], [7, 1], [4, 3], [5, 1], [6, 1], [1, 2], [8, 1], [3, 1], [0, 0]]
2026-03-24 17:26:45,645 - INFO - episode:48 reward:1.0 Actions:[[7, 0], [5, 2], [6, 2], [9, 2], [0, 2], [4, 1], [1, 2], [2, 1], [3, 5], [8, 1]]
2026-03-24 17:26:45,666 - INFO - episode:49 reward:2.8 Actions:[[2, 1], [6, 2], [5, 2], [9, 1], [3, 3], [7, 0], [0, 1], [4, 1], [8, 1], [1, 1]]
2026-03-24 17:26:45,687 - INFO - episode:50 reward:1.5 Actions:[[7, 0], [6, 0], [0, 4], [5, 0], [8, 1], [3, 1], [1, 2], [2, 2], [4, 3], [9, 1]]
2026-03-24 17:26:45,708 - INFO - episode:51 reward:2.8 Actions:[[9, 2], [6, 3], [7, 2], [0, 3], [8, 4], [4, 0], [3, 2], [1, 2], [2, 2], [5, 4]]
2026-03-24 17:26:45,729 - INFO - episode:52 reward:1.5 Actions:[[2, 0], [3, 0], [1, 4], [9, 3], [0, 1], [8, 0], [6, 1], [5, 5], [4, 1], [7, 2]]
2026-03-24 17:26:45,751 - INFO - episode:53 reward:2.1 Actions:[[9, 0], [5, 1], [1, 4], [2, 0], [3, 1], [0, 0], [4, 0], [6, 1], [8, 0], [7, 4]]
2026-03-24 17:26:45,772 - INFO - episode:54 reward:1.0 Actions:[[4, 1], [0, 1], [7, 0], [2, 1], [6, 1], [8, 1], [3, 2], [5, 0], [9, 1], [1, 0]]
2026-03-24 17:26:45,794 - INFO - episode:55 reward:2.1 Actions:[[7, 3], [2, 5], [0, 0], [4, 0], [6, 2], [5, 1], [8, 3], [9, 2], [1, 1], [3, 0]]
2026-03-24 17:26:45,815 - INFO - episode:56 reward:2.8 Actions:[[2, 0], [3, 1], [9, 1], [4, 0], [5, 0], [7, 1], [1, 2], [6, 1], [8, 3], [0, 0]]
2026-03-24 17:26:45,836 - INFO - episode:57 reward:1.5 Actions:[[0, 1], [1, 5], [6, 3], [7, 3], [9, 3], [5, 3], [4, 3], [3, 0], [8, 1], [2, 1]]
2026-03-24 17:26:45,857 - INFO - episode:58 reward:2.8 Actions:[[2, 5], [1, 0], [9, 3], [3, 3], [6, 1], [0, 1], [4, 2], [8, 1], [7, 0], [5, 3]]
2026-03-24 17:26:45,878 - INFO - episode:59 reward:1.0 Actions:[[0, 2], [3, 1], [7, 3], [9, 3], [8, 3], [4, 2], [2, 1], [6, 2], [1, 2], [5, 0]]
2026-03-24 17:26:45,900 - INFO - episode:60 reward:0.6000000000000001 Actions:[[0, 2], [3, 3], [6, 2], [8, 2], [9, 2], [4, 0], [5, 0], [1, 4], [7, 3], [2, 4]]
2026-03-24 17:26:45,921 - INFO - episode:61 reward:2.1 Actions:[[1, 1], [2, 0], [7, 0], [0, 4], [3, 3], [4, 0], [8, 3], [6, 0], [9, 2], [5, 3]]
2026-03-24 17:26:45,942 - INFO - episode:62 reward:1.0 Actions:[[6, 4], [3, 3], [4, 3], [2, 0], [1, 3], [9, 0], [8, 1], [7, 3], [0, 1], [5, 1]]
2026-03-24 17:26:45,963 - INFO - episode:63 reward:1.5 Actions:[[5, 4], [1, 2], [8, 3], [7, 2], [2, 5], [6, 3], [4, 4], [0, 0], [3, 0], [9, 0]]
2026-03-24 17:26:45,984 - INFO - episode:64 reward:3.5999999999999996 Actions:[[4, 0], [6, 3], [9, 3], [2, 0], [5, 0], [1, 2], [3, 3], [8, 1], [0, 0], [7, 5]]
2026-03-24 17:26:46,006 - INFO - episode:65 reward:1.0 Actions:[[6, 0], [0, 5], [1, 1], [2, 2], [8, 2], [9, 0], [3, 0], [7, 1], [4, 1], [5, 3]]
2026-03-24 17:26:46,027 - INFO - episode:66 reward:2.8 Actions:[[5, 1], [4, 3], [3, 2], [0, 1], [8, 0], [6, 1], [7, 3], [2, 0], [9, 2], [1, 2]]
2026-03-24 17:26:46,051 - INFO - episode:67 reward:12.938158061363993 Actions:[[4, 0], [3, 1], [1, 0], [0, 1], [9, 3], [5, 1], [2, 5], [6, 4], [7, 4], [8, 0]]
2026-03-24 17:26:46,072 - INFO - episode:68 reward:0.6000000000000001 Actions:[[9, 0], [5, 1], [3, 1], [1, 1], [4, 2], [8, 0], [2, 1], [6, 1], [7, 1], [0, 1]]
2026-03-24 17:26:46,093 - INFO - episode:69 reward:3.5999999999999996 Actions:[[3, 2], [2, 1], [1, 2], [0, 3], [8, 0], [5, 4], [4, 5], [9, 1], [7, 0], [6, 1]]
2026-03-24 17:26:46,115 - INFO - episode:70 reward:0.30000000000000004 Actions:[[5, 3], [6, 0], [8, 0], [1, 0], [9, 4], [2, 4], [7, 1], [4, 0], [3, 2], [0, 1]]
2026-03-24 17:26:46,136 - INFO - episode:71 reward:2.8 Actions:[[4, 1], [3, 0], [8, 3], [7, 0], [9, 1], [5, 2], [0, 2], [1, 1], [2, 0], [6, 1]]
2026-03-24 17:26:46,157 - INFO - episode:72 reward:1.5 Actions:[[4, 2], [3, 1], [9, 1], [7, 1], [6, 4], [8, 2], [5, 1], [1, 0], [0, 0], [2, 1]]
2026-03-24 17:26:46,178 - INFO - episode:73 reward:2.8 Actions:[[8, 3], [2, 5], [7, 0], [9, 1], [3, 1], [5, 2], [0, 4], [1, 3], [4, 3], [6, 2]]
2026-03-24 17:26:46,199 - INFO - episode:74 reward:0.6000000000000001 Actions:[[4, 0], [7, 0], [2, 1], [1, 0], [9, 1], [3, 1], [6, 2], [8, 1], [0, 2], [5, 2]]
2026-03-24 17:26:46,221 - INFO - episode:75 reward:1.5 Actions:[[5, 0], [7, 2], [8, 1], [4, 0], [9, 0], [1, 1], [3, 5], [0, 0], [6, 0], [2, 0]]
2026-03-24 17:26:46,242 - INFO - episode:76 reward:1.5 Actions:[[9, 3], [5, 1], [1, 1], [3, 0], [2, 0], [6, 1], [8, 1], [7, 0], [0, 1], [4, 1]]
2026-03-24 17:26:46,263 - INFO - episode:77 reward:2.8 Actions:[[0, 2], [5, 3], [3, 1], [4, 0], [1, 2], [2, 0], [8, 4], [7, 4], [6, 1], [9, 0]]
