timestamp,redis-cart-58fbf7f7c6-k7fnt_cpu,frontend-77cd85d5b4-qvc6w_cpu,productcatalogservice-596d5c8f9f-gkz8l_cpu,shippingservice-f899f4b4c-wc9v4_cpu,adservice-b87685d75-vbkk7_cpu,cartservice-7d5b58b444-hx8vh_cpu,checkoutservice-7b67c7c4c8-stjfw_cpu,currencyservice-76f5d795cc-8c7mz_cpu,emailservice-59c9565948-8g9bx_cpu,paymentservice-54569c46cc-gpfvj_cpu,recommendationservice-5c8d676599-v4qcr_cpu,redis-cart-58fbf7f7c6-k7fnt_memory,frontend-77cd85d5b4-qvc6w_memory,productcatalogservice-596d5c8f9f-gkz8l_memory,shippingservice-f899f4b4c-wc9v4_memory,adservice-b87685d75-vbkk7_memory,cartservice-7d5b58b444-hx8vh_memory,checkoutservice-7b67c7c4c8-stjfw_memory,currencyservice-76f5d795cc-8c7mz_memory,emailservice-59c9565948-8g9bx_memory,paymentservice-54569c46cc-gpfvj_memory,recommendationservice-5c8d676599-v4qcr_memory,paymentservice-54569c46cc-gpfvj_network,currencyservice-76f5d795cc-8c7mz_network,recommendationservice-5c8d676599-v4qcr_network,adservice-b87685d75-vbkk7_network,emailservice-59c9565948-8g9bx_network,redis-cart-58fbf7f7c6-k7fnt_network,checkoutservice-7b67c7c4c8-stjfw_network,frontend-77cd85d5b4-qvc6w_network,cartservice-7d5b58b444-hx8vh_network,shippingservice-f899f4b4c-wc9v4_network,productcatalogservice-596d5c8f9f-gkz8l_network
2026-03-24 09:18:00,9.898752300000524,86.60298029999845,45.844478933332766,4.582802366667238,6.153201066666726,48.660721066666696,9.606065066666652,118.09404053333313,6.228018133333418,2.9597482666664146,64.24027520000001,11.739136,18.833408,19.603456,15.945728,104.005632,55.349248,8.863744,46.989312,38.334464,29.769728,33.927168,408.04000000000013,2766.7600000000016,2240.4444444444453,1310.4400000000007,144.00000000000006,246.48999999999998,2611.210000000001,44619.521111111106,1444.0000000000005,942.49,3985.817777777778
2026-03-24 09:18:05,11.693038599999758,137.61647333333258,58.21849240000081,3.449202733332869,6.153201066666725,48.66072106666668,9.60606506666665,118.0940405333331,6.228018133333417,2.959748266666414,64.2402752,11.739136,18.685952,20.15232,15.945728,104.005632,55.349248,8.863744,46.989312,38.334464,29.769728,33.927168,408.03999999999996,2766.76,2240.444444444445,1310.4400000000003,144.0,314.47111111111116,2611.21,73585.60444444444,1444.0,212.18777777777788,3981.61
2026-03-24 09:18:10,11.693038599999758,137.61647333333258,58.21849240000081,3.449202733332868,6.153201066666725,48.66072106666668,9.60606506666665,118.0940405333331,6.228018133333417,2.959748266666414,64.2402752,11.739136,18.685952,20.15232,15.945728,104.005632,55.349248,8.863744,46.989312,38.334464,29.769728,33.927168,408.03999999999996,2766.76,2240.444444444445,1310.4400000000003,144.0,314.47111111111116,2611.21,73585.60444444444,1444.0,212.18777777777777,3981.61
2026-03-24 09:18:15,11.693038599999758,137.61647333333258,58.21849240000081,3.449202733332868,6.153201066666725,48.66072106666668,9.60606506666665,118.0940405333331,6.228018133333417,2.959748266666414,64.2402752,11.739136,18.685952,20.15232,15.945728,104.005632,55.349248,8.863744,46.989312,38.334464,29.769728,33.927168,408.03999999999996,2766.76,2240.444444444445,1310.4400000000003,144.0,314.47111111111116,2611.21,73585.60444444444,1444.0,212.18777777777777,3981.61
2026-03-24 09:18:20,11.693038599999758,137.61647333333258,58.21849240000081,3.449202733332868,14.105276800000869,46.99114773333312,8.378570666666691,64.51003200000211,8.388773333333317,2.0481941333324967,76.06301333333364,11.739136,18.685952,20.15232,15.945728,104.005632,55.56224,9.158656,47.271936,38.322176,29.51168,33.931264,538.2400000000001,3313.921111111113,833.2844444444448,1354.2400000000002,90.25000000000003,314.47111111111116,2410.810000000001,73585.60444444444,4674.001111111114,212.18777777777777,3981.61
2026-03-24 09:18:25,11.693038599999758,137.61647333333258,58.21849240000081,3.449202733332868,14.105276800000869,46.99114773333312,8.378570666666691,64.51003200000211,8.388773333333317,2.0481941333324967,76.06301333333364,11.739136,18.685952,20.15232,15.945728,104.005632,55.56224,9.158656,47.271936,38.322176,29.51168,33.931264,538.2400000000001,3313.921111111113,833.2844444444448,1354.2400000000002,90.25000000000003,314.47111111111116,2410.810000000001,73585.60444444444,4674.001111111114,212.18777777777777,3981.61
2026-03-24 09:18:30,11.693038599999758,137.61647333333258,58.21849240000081,3.449202733332868,14.105276800000869,46.99114773333312,8.378570666666691,64.51003200000211,8.388773333333317,2.0481941333324967,76.06301333333364,11.739136,18.685952,20.15232,15.945728,104.005632,55.56224,9.158656,47.271936,38.322176,29.51168,33.931264,538.2400000000001,3313.921111111113,833.2844444444448,1354.2400000000002,90.25000000000003,314.47111111111116,2410.810000000001,73585.60444444444,4674.001111111114,212.18777777777777,3981.61
2026-03-24 09:18:35,9.37179963333771,123.33527603333323,59.20040466666592,6.0195382666667765,14.105276800000865,46.991147733333115,8.37857066666669,64.5100320000021,8.388773333333315,2.0481941333324962,76.06301333333363,11.739136,18.972672,19.59936,16.052224,104.005632,55.56224,9.158656,47.271936,38.322176,29.51168,33.931264,538.24,3313.9211111111117,833.2844444444445,1354.2399999999998,90.25,359.73444444444436,2410.81,69660.80444444445,4674.00111111111,817.9600000000005,4190.404444444444
2026-03-24 09:18:40,9.37179963333771,123.33527603333323,59.20040466666592,6.019538266666776,14.105276800000865,46.991147733333115,8.37857066666669,64.5100320000021,8.388773333333315,2.0481941333324962,76.06301333333363,11.739136,18.972672,19.59936,16.052224,104.005632,55.56224,9.158656,47.271936,38.322176,29.51168,33.931264,538.24,3313.9211111111117,833.2844444444445,1354.2399999999998,90.25,359.73444444444436,2410.81,69660.80444444445,4674.00111111111,817.96,4190.404444444444
2026-03-24 09:18:45,9.37179963333771,123.33527603333323,59.20040466666592,6.019538266666776,14.105276800000865,46.991147733333115,8.37857066666669,64.5100320000021,8.388773333333315,2.0481941333324962,76.06301333333363,11.739136,18.972672,19.59936,16.052224,104.005632,55.56224,9.158656,47.271936,38.322176,29.51168,33.931264,538.24,3313.9211111111117,833.2844444444445,1354.2399999999998,90.25,359.73444444444436,2410.81,69660.80444444445,4674.00111111111,817.96,4190.404444444444
2026-03-24 09:18:50,9.37179963333771,123.33527603333323,59.20040466666592,6.019538266666776,13.139697066666642,57.07524906666779,16.541619199999978,81.36260906666547,8.4480170666667,5.511985066668029,65.77000106666638,11.739136,18.972672,19.59936,16.052224,104.108032,55.484416,9.023488,48.123904,38.334464,29.67552,33.931264,378.95111111111135,5665.071111111113,4520.321111111113,218.05444444444458,301.60111111111127,359.73444444444436,3592.0044444444466,69660.80444444445,4002.6711111111126,817.96,4190.404444444444
2026-03-24 09:18:55,9.37179963333771,123.33527603333323,59.20040466666592,6.019538266666776,13.139697066666642,57.07524906666779,16.541619199999978,81.36260906666547,8.4480170666667,5.511985066668029,65.77000106666638,11.739136,18.972672,19.59936,16.052224,104.108032,55.484416,9.023488,48.123904,38.334464,29.67552,33.931264,378.95111111111135,5665.071111111113,4520.321111111113,218.05444444444458,301.60111111111127,359.73444444444436,3592.0044444444466,69660.80444444445,4002.6711111111126,817.96,4190.404444444444
2026-03-24 09:19:00,9.37179963333771,123.33527603333323,59.20040466666592,6.019538266666776,13.139697066666642,57.07524906666779,16.541619199999978,81.36260906666547,8.4480170666667,5.511985066668029,65.77000106666638,11.739136,18.972672,19.59936,16.052224,104.108032,55.484416,9.023488,48.123904,38.334464,29.67552,33.931264,378.95111111111135,5665.071111111113,4520.321111111113,218.05444444444458,301.60111111111127,359.73444444444436,3592.0044444444466,69660.80444444445,4002.6711111111126,817.96,4190.404444444444
2026-03-24 09:19:05,9.00883966666394,104.26427336666771,56.44874789999979,4.835125500000005,13.139697066666638,57.075249066667766,16.541619199999975,81.36260906666546,8.448017066666699,5.511985066668028,65.77000106666637,11.739136,19.161088,19.378176,16.05632,104.108032,55.484416,9.023488,48.123904,38.334464,29.67552,33.931264,378.95111111111106,5665.071111111111,4520.321111111111,218.05444444444447,301.60111111111115,431.2544444444444,3592.004444444444,108966.01000000001,4002.671111111111,667.3611111111114,5387.56
2026-03-24 09:19:10,9.00883966666394,104.26427336666771,56.44874789999979,4.835125500000004,13.139697066666638,57.075249066667766,16.541619199999975,81.36260906666546,8.448017066666699,5.511985066668028,65.77000106666637,11.739136,19.161088,19.378176,16.05632,104.108032,55.484416,9.023488,48.123904,38.334464,29.67552,33.931264,378.95111111111106,5665.071111111111,4520.321111111111,218.05444444444447,301.60111111111115,431.2544444444444,3592.004444444444,108966.01000000001,4002.671111111111,667.3611111111111,5387.56
