timestamp,frontend_adservice&p50,checkoutservice_cartservice&p50,frontend_cartservice&p50,frontend_checkoutservice&p50,checkoutservice_currencyservice&p50,frontend_currencyservice&p50,checkoutservice_emailservice&p50,checkoutservice_paymentservice&p50,checkoutservice_productcatalogservice&p50,frontend_productcatalogservice&p50,recommendationservice_productcatalogservice&p50,frontend_recommendationservice&p50,checkoutservice_shippingservice&p50,frontend_shippingservice&p50,frontend_adservice&p90,checkoutservice_cartservice&p90,frontend_cartservice&p90,frontend_checkoutservice&p90,checkoutservice_currencyservice&p90,frontend_currencyservice&p90,checkoutservice_emailservice&p90,checkoutservice_paymentservice&p90,checkoutservice_productcatalogservice&p90,frontend_productcatalogservice&p90,recommendationservice_productcatalogservice&p90,frontend_recommendationservice&p90,checkoutservice_shippingservice&p90,frontend_shippingservice&p90,frontend_adservice&p99,checkoutservice_cartservice&p99,frontend_cartservice&p99,frontend_checkoutservice&p99,checkoutservice_currencyservice&p99,frontend_currencyservice&p99,checkoutservice_emailservice&p99,checkoutservice_paymentservice&p99,checkoutservice_productcatalogservice&p99,frontend_productcatalogservice&p99,recommendationservice_productcatalogservice&p99,frontend_recommendationservice&p99,checkoutservice_shippingservice&p99,frontend_shippingservice&p99
2026-03-24 14:00:00,7.689393939393939,88.48684210526316,93.98584905660378,500.0,9.3,19.820574162679424,20.500000000000007,8.125000000000002,75.0,3.8933333333333335,172.77227722772273,757.2463768115942,66.46341463414635,3.4705882352941178,44.699999999999996,256.2499999999999,233.48920863309357,1780.0000000000007,22.465517241379306,53.80341880341881,88.43750000000003,90.00000000000003,95.0,8.71311475409836,857.4999999999998,3927.9661016949162,103.75000000000007,7.375000000000001,93.44117647058822,475.6249999999999,467.49999999999966,2428.0,65.49999999999969,98.84188034188034,179.50000000000045,231.2500000000001,99.5,24.362499999999923,3608.333333333337,4892.796610169491,442.4999999999995,9.737499999999999
2026-03-24 14:00:05,7.689393939393939,84.14634146341464,93.98584905660378,490.3846153846154,9.055555555555555,19.820574162679424,12.93478260869565,7.500000000000001,75.0,3.8933333333333335,172.77227722772273,757.2463768115942,72.72727272727273,3.4705882352941178,44.699999999999996,236.45161290322577,233.48920863309357,913.0434782608696,23.32857142857143,53.80341880341881,70.49999999999997,57.916666666666686,95.0,8.71311475409836,857.4999999999998,3927.9661016949162,120.00000000000011,7.375000000000001,93.44117647058822,469.99999999999994,467.49999999999966,1750.000000000005,175.74999999999991,98.84188034188034,212.87499999999997,95.79166666666669,99.5,24.362499999999923,3608.333333333337,4892.796610169491,694.9999999999992,9.737499999999999
2026-03-24 14:00:10,7.689393939393939,83.3916083916084,94.16299559471366,490.3846153846154,9.055555555555555,19.820574162679424,12.93478260869565,7.500000000000001,59.375,7.906582768635044,74.21052631578944,757.2463768115942,57.30337078651686,4.69811320754717,44.699999999999996,235.46875,242.4468085106383,913.0434782608696,23.32857142857143,53.80341880341881,70.49999999999997,57.916666666666686,91.875,24.144937586685167,673.7499999999991,3927.9661016949162,97.30337078651687,23.66666666666666,93.44117647058822,470.15625000000017,491.58333333333326,1750.000000000005,175.74999999999991,98.84188034188034,212.87499999999997,95.79166666666669,99.18749999999999,134.12499999999943,2995.8333333333017,4892.796610169491,555.0000000000008,102.99999999999967
2026-03-24 14:00:15,8.297872340425533,83.3916083916084,94.16299559471366,490.3846153846154,8.625,20.546492659053836,12.93478260869565,7.500000000000001,59.375,7.906582768635044,107.56880733944962,7167.3387096774195,57.30337078651686,4.69811320754717,75.18518518518516,235.46875,242.4468085106383,913.0434782608696,28.333333333333407,72.26890756302518,70.49999999999997,57.916666666666686,91.875,24.144937586685167,838.8888888888897,9433.467741935485,97.30337078651687,23.66666666666666,167.9999999999994,470.15625000000017,491.58333333333326,1750.000000000005,178.00000000000014,219.03225806451587,212.87499999999997,95.79166666666669,99.18749999999999,134.12499999999943,2289.5833333333344,9943.346774193547,555.0000000000008,102.99999999999967
2026-03-24 14:00:20,8.297872340425533,85.29411764705883,94.16299559471366,602.9411764705883,7.421874999999999,20.546492659053836,12.250000000000002,7.222222222222222,4.6,7.906582768635044,107.56880733944962,7167.3387096774195,8.529411764705884,4.69811320754717,75.18518518518516,242.75862068965515,242.4468085106383,920.5882352941177,21.892857142857128,72.26890756302518,154.37500000000009,19.666666666666664,88.75000000000001,24.144937586685167,838.8888888888897,9433.467741935485,91.83673469387757,23.66666666666666,167.9999999999994,472.3076923076922,491.58333333333326,992.0588235294119,88.4999999999999,219.03225806451587,240.43749999999994,86.99999999999993,98.875,134.12499999999943,2289.5833333333344,9943.346774193547,238.75000000000028,102.99999999999967
2026-03-24 14:00:25,8.297872340425533,88.30645161290323,97.89915966386555,602.9411764705883,7.421874999999999,20.546492659053836,12.250000000000002,7.222222222222222,4.6,7.906582768635044,107.56880733944962,7167.3387096774195,54.99999999999999,4.449999999999999,75.18518518518516,262.49999999999994,296.42857142857133,920.5882352941177,21.892857142857128,72.26890756302518,154.37500000000009,19.666666666666664,88.75000000000001,24.144937586685167,838.8888888888897,9433.467741935485,95.8,61.66666666666665,167.9999999999994,476.24999999999994,479.6428571428572,992.0588235294119,88.4999999999999,219.03225806451587,240.43749999999994,86.99999999999993,98.875,134.12499999999943,2289.5833333333344,9943.346774193547,249.40000000000006,96.16666666666664
2026-03-24 14:00:30,8.642857142857142,88.30645161290323,97.89915966386555,602.9411764705883,7.666666666666667,23.353174603174605,12.250000000000002,7.222222222222222,4.6,7.906582768635044,118.10344827586205,4463.141025641026,54.99999999999999,4.449999999999999,72.5806451612903,262.49999999999994,296.42857142857133,920.5882352941177,19.692307692307697,78.49999999999999,154.37500000000009,19.666666666666664,88.75000000000001,24.144937586685167,879.5081967213113,8686.91588785047,95.8,61.66666666666665,183.99999999999983,476.24999999999994,479.6428571428572,992.0588235294119,71.99999999999999,207.04999999999973,240.43749999999994,86.99999999999993,98.875,134.12499999999943,2288.749999999999,9868.691588785046,249.40000000000006,96.16666666666664
2026-03-24 14:00:35,8.642857142857142,99.99999999999999,97.89915966386555,888.8888888888889,7.613636363636363,23.353174603174605,23.124999999999996,8.125,3.8000000000000003,7.906582768635044,118.10344827586205,4463.141025641026,17.49999999999995,4.449999999999999,72.5806451612903,449.99999999999994,296.42857142857133,2114.2857142857147,23.83333333333333,78.49999999999999,187.00000000000003,77.50000000000001,82.50000000000001,24.144937586685167,879.5081967213113,8686.91588785047,137.49999999999974,61.66666666666665,183.99999999999983,1915.0000000000025,479.6428571428572,2461.4285714285716,92.16666666666663,207.04999999999973,243.7,97.75,98.25,134.12499999999943,2288.749999999999,9868.691588785046,469.6428571428571,96.16666666666664
2026-03-24 14:00:40,8.642857142857142,113.39285714285712,156.77570093457945,888.8888888888889,7.613636363636363,23.353174603174605,23.124999999999996,8.125,17.500000000000004,12.580160320641282,9.778225806451617,4463.141025641026,51.72413793103448,6.428571428571428,72.5806451612903,681.25,743.8775510204083,2114.2857142857147,23.83333333333333,78.49999999999999,187.00000000000003,77.50000000000001,87.5,49.71476510067119,804.5081967213117,8686.91588785047,220.0000000000012,44.6153846153846,183.99999999999983,2158.7499999999977,2036.2499999999998,2461.4285714285716,92.16666666666663,207.04999999999973,243.7,97.75,98.75,204.3815789473686,2250.625,9868.691588785046,474.2857142857143,92.66666666666669
2026-03-24 14:00:45,11.999999999999998,113.39285714285712,156.77570093457945,888.8888888888889,9.305555555555555,36.49425287356322,23.124999999999996,8.125,17.500000000000004,12.580160320641282,11.071428571428505,3656.3670411985017,51.72413793103448,6.428571428571428,76.17647058823529,681.25,743.8775510204083,2114.2857142857147,40.62500000000003,91.78571428571429,187.00000000000003,77.50000000000001,87.5,49.71476510067119,755.0925925925919,4731.2734082397,220.0000000000012,44.6153846153846,194.50000000000017,2158.7499999999977,2036.2499999999998,2461.4285714285716,92.49999999999994,229.81481481481498,243.7,97.75,98.75,204.3815789473686,2233.3088235294126,4973.12734082397,474.2857142857143,92.66666666666669
