episode: 82 || reward: 3.1300 || t_min: 112.8759 || reward_s: 3.9521
episode: 83 || reward: 1.2414 || t_min: 112.8759 || reward_s: 3.8166
episode: 84 || reward: 3.0042 || t_min: 112.8759 || reward_s: 3.7760
episode: 85 || reward: 3.1994 || t_min: 112.8759 || reward_s: 3.7471
episode: 86 || reward: 3.6028 || t_min: 112.8759 || reward_s: 3.7399
episode: 87 || reward: 1.2414 || t_min: 112.8759 || reward_s: 3.6150
episode: 88 || reward: 1.2414 || t_min: 112.8759 || reward_s: 3.4963
episode: 89 || reward: 11.4963 || t_min: 112.8759 || reward_s: 3.8963
episode: 90 || reward: 1.2414 || t_min: 112.8759 || reward_s: 3.7636
episode: 91 || reward: 7.9183 || t_min: 112.8759 || reward_s: 3.9713
episode: 92 || reward: 1.2414 || t_min: 112.8759 || reward_s: 3.8348
episode: 93 || reward: 4.5305 || t_min: 112.8759 || reward_s: 3.8696
episode: 94 || reward: 1.2414 || t_min: 112.8759 || reward_s: 3.7382
episode: 95 || reward: 8.1797 || t_min: 112.8759 || reward_s: 3.9603
episode: 96 || reward: 1.2414 || t_min: 112.8759 || reward_s: 3.8243
episode: 97 || reward: 1.2414 || t_min: 112.8759 || reward_s: 3.6952
episode: 98 || reward: 7.3772 || t_min: 112.8759 || reward_s: 3.8793
episode: 99 || reward: 1.2414 || t_min: 112.8759 || reward_s: 3.7474
episode: 100 || reward: 3.4522 || t_min: 112.8759 || reward_s: 3.7326
episode: 101 || reward: 1.2414 || t_min: 112.8759 || reward_s: 3.6081
episode: 102 || reward: 3.2746 || t_min: 112.8759 || reward_s: 3.5914
episode: 103 || reward: 2.6002 || t_min: 112.8759 || reward_s: 3.5418
episode: 104 || reward: 5.4486 || t_min: 112.8759 || reward_s: 3.6372
episode: 105 || reward: 1.2414 || t_min: 112.8759 || reward_s: 3.5174
episode: 106 || reward: 6.3128 || t_min: 112.8759 || reward_s: 3.6571
episode: 107 || reward: 1.2414 || t_min: 112.8759 || reward_s: 3.5363
episode: 108 || reward: 1.2414 || t_min: 112.8759 || reward_s: 3.4216
