timestamp,adservice&p50,cartservice&p50,checkoutservice&p50,currencyservice&p50,emailservice&p50,paymentservice&p50,productcatalogservice&p50,recommendationservice&p50,shippingservice&p50,adservice&p90,cartservice&p90,checkoutservice&p90,currencyservice&p90,emailservice&p90,paymentservice&p90,productcatalogservice&p90,recommendationservice&p90,shippingservice&p90,adservice&p99,cartservice&p99,checkoutservice&p99,currencyservice&p99,emailservice&p99,paymentservice&p99,productcatalogservice&p99,recommendationservice&p99,shippingservice&p99
2026-03-24 09:27:00,6.38157894736842,94.14893617021276,500.0,8.688524590163935,8.75,3.0,3.788161993769471,157.58928571428572,4.294117647058824,24.49999999999999,1035.294117647062,1000.0,21.522388059701502,145.00000000000006,4.6,8.569868995633188,428.3333333333334,9.100000000000003,93.43749999999997,2353.529411764706,2349.999999999999,24.920895522388065,239.50000000000003,4.959999999999999,68.03571428571456,919.2857142857147,20.800000000000026
2026-03-24 09:27:05,6.38157894736842,94.14893617021276,437.5,8.688524590163935,6.666666666666666,4.2,3.788161993769471,157.58928571428572,4.294117647058824,24.49999999999999,1035.294117647062,850.0000000000001,21.522388059701502,25.0,12.999999999999995,8.569868995633188,428.3333333333334,9.100000000000003,93.43749999999997,2353.529411764706,985.0,24.920895522388065,94.99999999999997,23.800000000000008,68.03571428571456,919.2857142857147,20.800000000000026
2026-03-24 09:27:10,6.38157894736842,84.91379310344827,437.5,8.688524590163935,6.666666666666666,4.2,3.867595818815331,157.58928571428572,3.774193548387097,24.49999999999999,235.45454545454535,850.0000000000001,21.522388059701502,25.0,12.999999999999995,8.805936073059362,428.3333333333334,8.208333333333334,93.43749999999997,837.9999999999986,985.0,24.920895522388065,94.99999999999997,23.800000000000008,54.277777777777125,919.2857142857147,9.820833333333333
2026-03-24 09:27:15,4.795918367346939,84.91379310344827,437.5,8.708791208791208,6.666666666666666,4.2,3.867595818815331,119.89795918367346,3.774193548387097,33.124999999999936,235.45454545454535,850.0000000000001,22.607361963190183,25.0,12.999999999999995,8.805936073059362,301.9230769230771,8.208333333333334,93.07142857142856,837.9999999999986,985.0,87.22222222222214,94.99999999999997,23.800000000000008,54.277777777777125,497.5,9.820833333333333
2026-03-24 09:27:20,4.795918367346939,84.91379310344827,500.0,8.708791208791208,7.5,3.9999999999999996,3.867595818815331,119.89795918367346,3.774193548387097,33.124999999999936,235.45454545454535,900.0,22.607361963190183,129.99999999999994,11.50000000000001,8.805936073059362,301.9230769230771,8.208333333333334,93.07142857142856,837.9999999999986,990.0,87.22222222222214,238.00000000000009,23.65,54.277777777777125,497.5,9.820833333333333
2026-03-24 09:27:25,4.795918367346939,83.11965811965811,500.0,8.708791208791208,7.5,3.9999999999999996,4.3180076628352495,119.89795918367346,3.8,33.124999999999936,208.87096774193552,900.0,22.607361963190183,129.99999999999994,11.50000000000001,9.61290322580645,301.9230769230771,9.136363636363637,93.07142857142856,477.0833333333341,990.0,87.22222222222214,238.00000000000009,23.65,87.05555555555567,497.5,75.49999999999994
2026-03-24 09:27:30,7.738095238095238,83.11965811965811,500.0,8.440366972477063,7.5,3.9999999999999996,4.3180076628352495,193.75000000000003,3.8,47.500000000000036,208.87096774193552,900.0,22.068965517241377,129.99999999999994,11.50000000000001,9.61290322580645,460.294117647059,9.136363636363637,94.38888888888893,477.0833333333341,990.0,355.555555555557,238.00000000000009,23.65,87.05555555555567,911.4285714285719,75.49999999999994
2026-03-24 09:27:35,7.738095238095238,83.11965811965811,468.75,8.440366972477063,7.916666666666666,5.416666666666667,4.3180076628352495,193.75000000000003,3.8,47.500000000000036,208.87096774193552,883.3333333333334,22.068965517241377,72.49999999999999,9.75,9.61290322580645,460.294117647059,9.136363636363637,94.38888888888893,477.0833333333341,988.3333333333334,355.555555555557,97.25000000000001,93.49999999999997,87.05555555555567,911.4285714285719,75.49999999999994
2026-03-24 09:27:40,7.738095238095238,81.52173913043478,468.75,8.440366972477063,7.916666666666666,5.416666666666667,4.296296296296296,193.75000000000003,3.8444444444444446,47.500000000000036,199.64285714285714,883.3333333333334,22.068965517241377,72.49999999999999,9.75,9.797794117647058,460.294117647059,9.2,94.38888888888893,925.9999999999999,988.3333333333334,355.555555555557,97.25000000000001,93.49999999999997,84.99999999999996,911.4285714285719,84.00000000000014
2026-03-24 09:27:45,6.730769230769232,81.52173913043478,468.75,8.387978142076502,7.916666666666666,5.416666666666667,4.296296296296296,245.94594594594597,3.8444444444444446,59.09090909090912,199.64285714285714,883.3333333333334,22.64444444444445,72.49999999999999,9.75,9.797794117647058,937.9310344827586,9.2,95.90909090909088,925.9999999999999,988.3333333333334,64.00000000000016,97.25000000000001,93.49999999999997,84.99999999999996,2282.499999999999,84.00000000000014
