timestamp,redis-cart-58fbf7f7c6-k7fnt_cpu,frontend-77cd85d5b4-qvc6w_cpu,productcatalogservice-596d5c8f9f-gkz8l_cpu,shippingservice-f899f4b4c-wc9v4_cpu,adservice-b87685d75-vbkk7_cpu,cartservice-7d5b58b444-hx8vh_cpu,checkoutservice-7b67c7c4c8-stjfw_cpu,currencyservice-76f5d795cc-8c7mz_cpu,emailservice-59c9565948-8g9bx_cpu,paymentservice-54569c46cc-gpfvj_cpu,recommendationservice-5c8d676599-v4qcr_cpu,redis-cart-58fbf7f7c6-k7fnt_memory,frontend-77cd85d5b4-qvc6w_memory,productcatalogservice-596d5c8f9f-gkz8l_memory,shippingservice-f899f4b4c-wc9v4_memory,adservice-b87685d75-vbkk7_memory,cartservice-7d5b58b444-hx8vh_memory,checkoutservice-7b67c7c4c8-stjfw_memory,currencyservice-76f5d795cc-8c7mz_memory,emailservice-59c9565948-8g9bx_memory,paymentservice-54569c46cc-gpfvj_memory,recommendationservice-5c8d676599-v4qcr_memory,currencyservice-76f5d795cc-8c7mz_network,emailservice-59c9565948-8g9bx_network,redis-cart-58fbf7f7c6-k7fnt_network,cartservice-7d5b58b444-hx8vh_network,paymentservice-54569c46cc-gpfvj_network,productcatalogservice-596d5c8f9f-gkz8l_network,checkoutservice-7b67c7c4c8-stjfw_network,recommendationservice-5c8d676599-v4qcr_network,frontend-77cd85d5b4-qvc6w_network,shippingservice-f899f4b4c-wc9v4_network,adservice-b87685d75-vbkk7_network
2026-03-24 09:27:00,5.563861733329152,103.11598660000149,44.29870396666615,3.2426828666662764,17.25459733333234,32.48612800000123,9.858488533333384,70.43846186666468,7.889464533333288,2.641808000000386,92.78730346666607,11.743232,18.69824,19.595264,16.03584,104.628224,55.402496,9.44128,49.5616,38.42048,31.055872,34.213888,2580.6400000000003,54.26777777777781,448.0277777777778,4259.737777777779,555.387777777778,2798.41,2320.0277777777783,3139.7344444444457,90821.86777777778,770.9877777777778,932.284444444445
2026-03-24 09:27:05,11.540348033334643,134.2468098999992,72.37628280000006,4.9802170666671,17.254597333332338,32.486128000001216,9.858488533333382,70.43846186666467,7.889464533333286,2.6418080000003856,92.78730346666606,11.743232,19.554304,19.505152,16.072704,104.628224,55.402496,9.44128,49.5616,38.42048,31.055872,34.213888,2580.64,54.26777777777777,396.00999999999993,4259.737777777777,555.3877777777777,4053.4444444444443,2320.0277777777774,3139.7344444444443,89301.3611111111,161.29000000000002,932.2844444444445
2026-03-24 09:27:10,11.540348033334643,134.2468098999992,72.37628280000006,4.980217066667099,17.254597333332338,32.486128000001216,9.858488533333382,70.43846186666467,7.889464533333286,2.6418080000003856,92.78730346666606,11.743232,19.554304,19.505152,16.072704,104.628224,55.402496,9.44128,49.5616,38.42048,31.055872,34.213888,2580.64,54.26777777777777,396.00999999999993,4259.737777777777,555.3877777777777,4053.4444444444443,2320.0277777777774,3139.7344444444443,89301.3611111111,161.29,932.2844444444445
2026-03-24 09:27:15,11.540348033334643,134.2468098999992,72.37628280000006,4.980217066667099,17.254597333332338,32.486128000001216,9.858488533333382,70.43846186666467,7.889464533333286,2.6418080000003856,92.78730346666606,11.743232,19.554304,19.505152,16.072704,104.628224,55.402496,9.44128,49.5616,38.42048,31.055872,34.213888,2580.64,54.26777777777777,396.00999999999993,4259.737777777777,555.3877777777777,4053.4444444444443,2320.0277777777774,3139.7344444444443,89301.3611111111,161.29,932.2844444444445
2026-03-24 09:27:20,11.540348033334643,134.2468098999992,72.37628280000006,4.980217066667099,10.889772800000705,58.84041706666685,9.347634133333337,103.2231861333344,7.332225066666829,3.344767999999477,98.26752640000035,11.743232,19.554304,19.505152,16.072704,104.63232,55.451648,9.228288,52.072448,38.42048,30.527488,34.045952,4386.854444444446,264.60444444444454,396.00999999999993,1253.1600000000003,341.01777777777795,4053.4444444444443,4692.250000000002,3576.0400000000022,89301.3611111111,161.29,1689.2100000000007
2026-03-24 09:27:25,11.540348033334643,134.2468098999992,72.37628280000006,4.980217066667099,10.889772800000705,58.84041706666685,9.347634133333337,103.2231861333344,7.332225066666829,3.344767999999477,98.26752640000035,11.743232,19.554304,19.505152,16.072704,104.63232,55.451648,9.228288,52.072448,38.42048,30.527488,34.045952,4386.854444444446,264.60444444444454,396.00999999999993,1253.1600000000003,341.01777777777795,4053.4444444444443,4692.250000000002,3576.0400000000022,89301.3611111111,161.29,1689.2100000000007
2026-03-24 09:27:30,11.540348033334643,134.2468098999992,72.37628280000006,4.980217066667099,10.889772800000705,58.84041706666685,9.347634133333337,103.2231861333344,7.332225066666829,3.344767999999477,98.26752640000035,11.743232,19.554304,19.505152,16.072704,104.63232,55.451648,9.228288,52.072448,38.42048,30.527488,34.045952,4386.854444444446,264.60444444444454,396.00999999999993,1253.1600000000003,341.01777777777795,4053.4444444444443,4692.250000000002,3576.0400000000022,89301.3611111111,161.29,1689.2100000000007
2026-03-24 09:27:35,9.73257849999906,119.43217650000028,57.46298660000093,7.734998199999649,10.889772800000703,58.84041706666684,9.347634133333335,103.22318613333437,7.332225066666827,3.344767999999476,98.26752640000034,11.743232,19.550208,19.61984,16.285696,104.63232,55.451648,9.228288,52.072448,38.42048,30.527488,34.045952,4386.854444444444,264.6044444444444,518.3211111111111,1253.1599999999999,341.0177777777777,8004.2844444444445,4692.25,3576.0399999999995,90962.56000000001,702.2500000000003,1689.21
2026-03-24 09:27:40,9.73257849999906,119.43217650000028,57.46298660000093,7.734998199999647,10.889772800000703,58.84041706666684,9.347634133333335,103.22318613333437,7.332225066666827,3.344767999999476,98.26752640000034,11.743232,19.550208,19.61984,16.285696,104.63232,55.451648,9.228288,52.072448,38.42048,30.527488,34.045952,4386.854444444444,264.6044444444444,518.3211111111111,1253.1599999999999,341.0177777777777,8004.2844444444445,4692.25,3576.0399999999995,90962.56000000001,702.25,1689.21
2026-03-24 09:27:45,9.73257849999906,119.43217650000028,57.46298660000093,7.734998199999647,10.889772800000703,58.84041706666684,9.347634133333335,103.22318613333437,7.332225066666827,3.344767999999476,98.26752640000034,11.743232,19.550208,19.61984,16.285696,104.63232,55.451648,9.228288,52.072448,38.42048,30.527488,34.045952,4386.854444444444,264.6044444444444,518.3211111111111,1253.1599999999999,341.0177777777777,8004.2844444444445,4692.25,3576.0399999999995,90962.56000000001,702.25,1689.21
