,cpu,mem
ad,82.88070211147586,374.08977971311475
cart,210.72352333989068,275.61372950819674
checkout,88.55521201311473,154.4266137295082
currency,400.38946647431425,265.6460681352459
email,39.664443506010855,176.8250512295082
frontend,725.3334288633874,206.738025102459
payment,31.451568367210797,181.02452612704917
productcatalog,352.44447836611874,214.70062756147541
recommendation,294.9029222819672,166.89984631147541
redis-cart,41.49471319016439,128.10386782786884
shipping,54.60314570218918,161.5826075819672
