timestamp,redis-cart-58fbf7f7c6-k7fnt_cpu,frontend-77cd85d5b4-qvc6w_cpu,productcatalogservice-596d5c8f9f-gkz8l_cpu,shippingservice-f899f4b4c-wc9v4_cpu,adservice-b87685d75-vbkk7_cpu,cartservice-7d5b58b444-hx8vh_cpu,checkoutservice-7b67c7c4c8-stjfw_cpu,currencyservice-76f5d795cc-8c7mz_cpu,emailservice-59c9565948-8g9bx_cpu,paymentservice-54569c46cc-gpfvj_cpu,recommendationservice-5c8d676599-v4qcr_cpu,redis-cart-58fbf7f7c6-k7fnt_memory,frontend-77cd85d5b4-qvc6w_memory,productcatalogservice-596d5c8f9f-gkz8l_memory,shippingservice-f899f4b4c-wc9v4_memory,adservice-b87685d75-vbkk7_memory,cartservice-7d5b58b444-hx8vh_memory,checkoutservice-7b67c7c4c8-stjfw_memory,currencyservice-76f5d795cc-8c7mz_memory,emailservice-59c9565948-8g9bx_memory,paymentservice-54569c46cc-gpfvj_memory,recommendationservice-5c8d676599-v4qcr_memory,productcatalogservice-596d5c8f9f-gkz8l_network,currencyservice-76f5d795cc-8c7mz_network,paymentservice-54569c46cc-gpfvj_network,adservice-b87685d75-vbkk7_network,checkoutservice-7b67c7c4c8-stjfw_network,redis-cart-58fbf7f7c6-k7fnt_network,shippingservice-f899f4b4c-wc9v4_network,frontend-77cd85d5b4-qvc6w_network,emailservice-59c9565948-8g9bx_network,recommendationservice-5c8d676599-v4qcr_network,cartservice-7d5b58b444-hx8vh_network
2026-03-24 09:00:00,15.758145800001937,20.569971166666317,0.4107671000004605,0.579274000000396,6.281212799999975,16.68407573333374,3.691841066666669,17.042902399998642,5.235877333333269,3.0051381333332006,22.22077866666676,11.739136,18.030592,19.857408,15.44192,103.837696,55.156736,8.298496,52.256768,38.248448,30.797824,33.632256,625.0,695.2011111111115,294.6944444444446,180.45444444444453,1686.471111111112,47.61000000000001,453.69000000000005,9669.444444444443,306.2500000000001,488.4100000000002,1269.734444444445
2026-03-24 09:00:05,7.682922066661982,29.847118266667394,18.688253433333557,1.2514862666667645,6.281212799999973,16.684075733333735,3.691841066666668,17.04290239999864,5.235877333333268,3.0051381333332,22.220778666666757,11.739136,18.030592,19.6608,15.663104,103.837696,55.156736,8.298496,52.256768,38.248448,30.797824,33.632256,1371.4677777777777,695.2011111111111,294.69444444444446,180.45444444444445,1686.4711111111114,132.25,745.2900000000004,50056.60444444444,306.25,488.4100000000001,1269.7344444444443
2026-03-24 09:00:10,7.682922066661982,29.847118266667394,18.688253433333557,1.2514862666667643,6.281212799999973,16.684075733333735,3.691841066666668,17.04290239999864,5.235877333333268,3.0051381333332,22.220778666666757,11.739136,18.030592,19.6608,15.663104,103.837696,55.156736,8.298496,52.256768,38.248448,30.797824,33.632256,1371.4677777777777,695.2011111111111,294.69444444444446,180.45444444444445,1686.4711111111114,132.25,745.2900000000001,50056.60444444444,306.25,488.4100000000001,1269.7344444444443
2026-03-24 09:00:15,7.682922066661982,29.847118266667394,18.688253433333557,1.2514862666667643,6.281212799999973,16.684075733333735,3.691841066666668,17.04290239999864,5.235877333333268,3.0051381333332,22.220778666666757,11.739136,18.030592,19.6608,15.663104,103.837696,55.156736,8.298496,52.256768,38.248448,30.797824,33.632256,1371.4677777777777,695.2011111111111,294.69444444444446,180.45444444444445,1686.4711111111114,132.25,745.2900000000001,50056.60444444444,306.25,488.4100000000001,1269.7344444444443
2026-03-24 09:00:20,7.682922066661982,29.847118266667394,18.688253433333557,1.2514862666667643,2.904952533333472,10.358809599999102,2.390907733333333,25.457439999998623,3.8184554666667494,1.1204842666662294,21.288642133333255,11.739136,18.030592,19.6608,15.663104,103.837696,55.140352,8.388608,52.109312,38.248448,31.014912,33.632256,1371.4677777777777,1067.1111111111113,232.05444444444458,569.617777777778,427.1111111111113,132.25,745.2900000000001,50056.60444444444,50.41000000000003,645.1600000000001,1752.8177777777785
2026-03-24 09:00:25,7.682922066661982,29.847118266667394,18.688253433333557,1.2514862666667643,2.904952533333472,10.358809599999102,2.390907733333333,25.457439999998623,3.8184554666667494,1.1204842666662294,21.288642133333255,11.739136,18.030592,19.6608,15.663104,103.837696,55.140352,8.388608,52.109312,38.248448,31.014912,33.632256,1371.4677777777777,1067.1111111111113,232.05444444444458,569.617777777778,427.1111111111113,132.25,745.2900000000001,50056.60444444444,50.41000000000003,645.1600000000001,1752.8177777777785
2026-03-24 09:00:30,7.682922066661982,29.847118266667394,18.688253433333557,1.2514862666667643,2.904952533333472,10.358809599999102,2.390907733333333,25.457439999998623,3.8184554666667494,1.1204842666662294,21.288642133333255,11.739136,18.030592,19.6608,15.663104,103.837696,55.140352,8.388608,52.109312,38.248448,31.014912,33.632256,1371.4677777777777,1067.1111111111113,232.05444444444458,569.617777777778,427.1111111111113,132.25,745.2900000000001,50056.60444444444,50.41000000000003,645.1600000000001,1752.8177777777785
2026-03-24 09:00:35,19.148549333332692,51.21799476666713,19.080829000000676,1.6377499666665096,2.9049525333334714,10.3588095999991,2.390907733333332,25.457439999998616,3.818455466666748,1.1204842666662291,21.28864213333325,11.739136,18.0224,19.533824,15.79008,103.837696,55.140352,8.388608,52.109312,38.248448,31.014912,33.632256,1140.1877777777777,1067.1111111111109,232.0544444444444,569.6177777777777,427.11111111111114,190.44000000000003,246.49000000000015,71431.47111111111,50.41,645.16,1752.8177777777778
2026-03-24 09:00:40,19.148549333332692,51.21799476666713,19.080829000000676,1.6377499666665092,2.9049525333334714,10.3588095999991,2.390907733333332,25.457439999998616,3.818455466666748,1.1204842666662291,21.28864213333325,11.739136,18.0224,19.533824,15.79008,103.837696,55.140352,8.388608,52.109312,38.248448,31.014912,33.632256,1140.1877777777777,1067.1111111111109,232.0544444444444,569.6177777777777,427.11111111111114,190.44000000000003,246.48999999999998,71431.47111111111,50.41,645.16,1752.8177777777778
2026-03-24 09:00:45,19.148549333332692,51.21799476666713,19.080829000000676,1.6377499666665092,2.9049525333334714,10.3588095999991,2.390907733333332,25.457439999998616,3.818455466666748,1.1204842666662291,21.28864213333325,11.739136,18.0224,19.533824,15.79008,103.837696,55.140352,8.388608,52.109312,38.248448,31.014912,33.632256,1140.1877777777777,1067.1111111111109,232.0544444444444,569.6177777777777,427.11111111111114,190.44000000000003,246.48999999999998,71431.47111111111,50.41,645.16,1752.8177777777778
