timestamp,redis-cart-58fbf7f7c6-k7fnt_cpu,frontend-77cd85d5b4-qvc6w_cpu,productcatalogservice-596d5c8f9f-gkz8l_cpu,shippingservice-f899f4b4c-wc9v4_cpu,adservice-b87685d75-vbkk7_cpu,cartservice-7d5b58b444-hx8vh_cpu,checkoutservice-7b67c7c4c8-stjfw_cpu,currencyservice-76f5d795cc-8c7mz_cpu,emailservice-59c9565948-8g9bx_cpu,paymentservice-54569c46cc-gpfvj_cpu,recommendationservice-5c8d676599-v4qcr_cpu,redis-cart-58fbf7f7c6-k7fnt_memory,frontend-77cd85d5b4-qvc6w_memory,productcatalogservice-596d5c8f9f-gkz8l_memory,shippingservice-f899f4b4c-wc9v4_memory,adservice-b87685d75-vbkk7_memory,cartservice-7d5b58b444-hx8vh_memory,checkoutservice-7b67c7c4c8-stjfw_memory,currencyservice-76f5d795cc-8c7mz_memory,emailservice-59c9565948-8g9bx_memory,paymentservice-54569c46cc-gpfvj_memory,recommendationservice-5c8d676599-v4qcr_memory,adservice-b87685d75-vbkk7_network,currencyservice-76f5d795cc-8c7mz_network,cartservice-7d5b58b444-hx8vh_network,paymentservice-54569c46cc-gpfvj_network,shippingservice-f899f4b4c-wc9v4_network,recommendationservice-5c8d676599-v4qcr_network,redis-cart-58fbf7f7c6-k7fnt_network,productcatalogservice-596d5c8f9f-gkz8l_network,frontend-77cd85d5b4-qvc6w_network,checkoutservice-7b67c7c4c8-stjfw_network,emailservice-59c9565948-8g9bx_network
2026-03-24 09:37:00,12.627672533335499,91.64935543333665,70.53514676666737,4.899582666665955,3.604177066665671,40.5432191999997,10.06876693333337,88.97219306666862,11.203770666666676,4.199896533333459,88.17875840000039,11.743232,19.533824,19.546112,15.990784,104.615936,55.779328,9.347072,51.318784,38.408192,30.998528,34.349056,2143.6900000000005,2536.801111111112,4334.027777777779,388.0900000000001,1477.1211111111108,1122.2500000000005,139.24,6052.839999999999,42945.65444444444,7855.867777777781,212.18777777777788
2026-03-24 09:37:05,5.182320499996726,90.43122946666624,54.65762876666531,5.776972500000475,3.6041770666656703,40.54321919999969,10.068766933333368,88.97219306666861,11.203770666666674,4.199896533333458,88.17875840000038,11.743232,20.041728,20.168704,15.990784,104.615936,55.779328,9.347072,51.318784,38.408192,30.998528,34.349056,2143.6899999999996,2536.8011111111114,4334.027777777777,388.09,707.5600000000004,1122.25,397.3377777777778,2143.6899999999996,163350.69444444447,7855.867777777779,212.18777777777777
2026-03-24 09:37:10,5.182320499996726,90.43122946666624,54.65762876666531,5.776972500000474,3.6041770666656703,40.54321919999969,10.068766933333368,88.97219306666861,11.203770666666674,4.199896533333458,88.17875840000038,11.743232,20.041728,20.168704,15.990784,104.615936,55.779328,9.347072,51.318784,38.408192,30.998528,34.349056,2143.6899999999996,2536.8011111111114,4334.027777777777,388.09,707.5600000000001,1122.25,397.3377777777778,2143.6899999999996,163350.69444444447,7855.867777777779,212.18777777777777
2026-03-24 09:37:15,5.182320499996726,90.43122946666624,54.65762876666531,5.776972500000474,3.6041770666656703,40.54321919999969,10.068766933333368,88.97219306666861,11.203770666666674,4.199896533333458,88.17875840000038,11.743232,20.041728,20.168704,15.990784,104.615936,55.779328,9.347072,51.318784,38.408192,30.998528,34.349056,2143.6899999999996,2536.8011111111114,4334.027777777777,388.09,707.5600000000001,1122.25,397.3377777777778,2143.6899999999996,163350.69444444447,7855.867777777779,212.18777777777777
2026-03-24 09:37:20,5.182320499996726,90.43122946666624,54.65762876666531,5.776972500000474,19.542760533333123,46.70705813333409,12.0707210666667,119.04093866666777,8.374814933333381,5.032037333332559,105.11439253333306,11.743232,20.041728,20.168704,15.990784,104.726528,55.779328,9.326592,53.850112,38.395904,31.563776,34.127872,372.4900000000002,6177.960000000001,4351.601111111113,428.4900000000001,707.5600000000001,7067.204444444446,397.3377777777778,2143.6899999999996,163350.69444444447,3196.017777777779,394.6844444444446
2026-03-24 09:37:25,5.182320499996726,90.43122946666624,54.65762876666531,5.776972500000474,19.542760533333123,46.70705813333409,12.0707210666667,119.04093866666777,8.374814933333381,5.032037333332559,105.11439253333306,11.743232,20.041728,20.168704,15.990784,104.726528,55.779328,9.326592,53.850112,38.395904,31.563776,34.127872,372.4900000000002,6177.960000000001,4351.601111111113,428.4900000000001,707.5600000000001,7067.204444444446,397.3377777777778,2143.6899999999996,163350.69444444447,3196.017777777779,394.6844444444446
2026-03-24 09:37:30,5.182320499996726,90.43122946666624,54.65762876666531,5.776972500000474,19.542760533333123,46.70705813333409,12.0707210666667,119.04093866666777,8.374814933333381,5.032037333332559,105.11439253333306,11.743232,20.041728,20.168704,15.990784,104.726528,55.779328,9.326592,53.850112,38.395904,31.563776,34.127872,372.4900000000002,6177.960000000001,4351.601111111113,428.4900000000001,707.5600000000001,7067.204444444446,397.3377777777778,2143.6899999999996,163350.69444444447,3196.017777777779,394.6844444444446
2026-03-24 09:37:35,10.199369633339,204.08204539999892,65.14735460000148,6.611798733333295,19.542760533333116,46.70705813333408,12.070721066666698,119.04093866666774,8.37481493333338,5.032037333332558,105.11439253333303,11.751424,20.082688,19.509248,16.060416,104.726528,55.779328,9.326592,53.850112,38.395904,31.563776,34.127872,372.49,6177.959999999999,4351.601111111111,428.48999999999995,384.1600000000002,7067.204444444444,799.0044444444444,7844.054444444444,43918.18777777778,3196.0177777777776,394.68444444444447
2026-03-24 09:37:40,10.199369633339,204.08204539999892,65.14735460000148,6.611798733333293,19.542760533333116,46.70705813333408,12.070721066666698,119.04093866666774,8.37481493333338,5.032037333332558,105.11439253333303,11.751424,20.082688,19.509248,16.060416,104.726528,55.779328,9.326592,53.850112,38.395904,31.563776,34.127872,372.49,6177.959999999999,4351.601111111111,428.48999999999995,384.1600000000001,7067.204444444444,799.0044444444444,7844.054444444444,43918.18777777778,3196.0177777777776,394.68444444444447
2026-03-24 09:37:45,10.199369633339,204.08204539999892,65.14735460000148,6.611798733333293,19.542760533333116,46.70705813333408,12.070721066666698,119.04093866666774,8.37481493333338,5.032037333332558,105.11439253333303,11.751424,20.082688,19.509248,16.060416,104.726528,55.779328,9.326592,53.850112,38.395904,31.563776,34.127872,372.49,6177.959999999999,4351.601111111111,428.48999999999995,384.1600000000001,7067.204444444444,799.0044444444444,7844.054444444444,43918.18777777778,3196.0177777777776,394.68444444444447
